4673
1	1 1	1 4	1 6	1 9	-1.7879705654690383
2	1 1	1 4	1 10	1 13	-3.0837415686076186
3	1 1	1 4	1 49	1 52	0.0049056721963045636
4	1 1	1 4	1 2	1 63	-0.07014719164902486
5	1 2	1 5	1 22	1 25	-0.17361035177298445
6	1 2	1 5	1 24	1 27	-0.19906393914399156
7	1 2	1 5	1 23	1 26	-8.327980669119299
8	1 2	1 5	1 43	1 46	-0.008567439872735262
9	1 2	1 5	1 42	1 45	-0.008974849482781384
10	1 2	1 5	1 41	1 44	-0.008672948719580378
11	1 2	1 5	1 44	1 47	-0.008663349016627724
12	1 2	1 5	1 67	1 70	-0.04375889551963523
13	1 2	1 5	1 70	1 1	-7.106552203429251
14	1 2	1 5	1 1	1 63	7.337747238700454
15	1 2	1 5	1 68	1 71	-0.04071075808831956
16	1 3	1 6	1 1	1 4	-4.03207856996265
17	1 3	1 6	1 2	1 5	15.81908624885855
18	1 3	1 6	1 8	1 11	-1.7777131738580176
19	1 3	1 6	1 23	1 26	-0.19740473492064226
20	1 3	1 6	1 18	1 21	-3.8808839071883448
21	1 3	1 6	1 37	1 40	-0.004846757530732589
22	1 3	1 6	1 40	1 43	-0.00790621308432225
23	1 3	1 6	1 43	1 46	-0.008639560277055435
24	1 3	1 6	1 38	1 41	-0.0047337733814150715
25	1 3	1 6	1 41	1 44	-0.009199548463435668
26	1 3	1 6	1 44	1 47	-0.008412515603106015
27	1 3	1 6	1 39	1 42	-0.0061290652621330995
28	1 3	1 6	1 42	1 45	-0.009318900480570545
29	1 3	1 6	1 60	1 63	-0.014605214300813778
30	1 3	1 6	1 63	1 66	-0.04481979034785007
31	1 3	1 6	1 61	1 64	-0.02347919029434956
32	1 3	1 6	1 64	1 67	-0.04731792345489372
33	1 3	1 6	1 1	1 62	3.1453658204045927
34	1 3	1 6	1 71	1 2	-9.850625903386975
35	1 3	1 6	1 69	1 72	-0.03433682218529685
36	1 4	1 7	1 8	1 11	-6.179591021145409
