6308
112	1 23	1 26	1 33	1 36	-0.449072052
113	1 23	1 26	1 36	1 39	-0.131668469
114	1 23	1 26	1 39	1 42	-0.029210925
115	1 23	1 26	1 29	1 32	-0.950288373
116	1 23	1 26	1 32	1 35	-0.378362513
117	1 23	1 26	1 35	1 38	-0.311123993
118	1 23	1 26	1 38	1 41	-0.033314744
119	1 23	1 26	1 41	1 44	-0.022384468
120	1 23	1 26	1 44	1 47	-0.01298484
121	1 23	1 26	1 47	1 50	0.1200126305
122	1 23	1 26	1 50	1 53	-0.0289490095
123	1 23	1 26	1 53	1 56	-0.025569999
124	1 23	1 26	1 56	1 59	-0.06422214000000001
125	1 23	1 26	1 31	1 34	-0.354152381
126	1 23	1 26	1 34	1 37	-0.446463733
127	1 23	1 26	1 37	1 40	-0.050162765
128	1 23	1 26	1 40	1 43	-0.025618059
129	1 23	1 26	1 43	1 46	-0.013955066
130	1 23	1 26	1 46	1 49	0.1228609225
131	1 23	1 26	1 49	1 52	-0.0250035545
132	1 23	1 26	1 52	1 55	-0.023362595
133	1 23	1 26	1 55	1 58	-0.049368061
134	1 23	1 26	1 58	1 61	-0.039773438999999994
135	1 23	1 26	1 42	1 45	-0.017110596
136	1 23	1 26	1 45	1 48	-0.010635205
137	1 23	1 26	1 48	1 51	0.1153860675
138	1 23	1 26	1 51	1 54	-0.027939096
139	1 23	1 26	1 54	1 57	-0.032951229
140	1 23	1 26	1 57	1 60	-0.059047591999999996
141	1 23	1 26	1 60	1 63	-0.008824643
142	1 23	1 26	1 63	1 66	-0.005614051
143	1 23	1 26	1 66	1 69	-0.0032995554999999998
144	1 23	1 26	1 69	1 72	-0.002343244
145	1 23	1 26	1 59	1 62	-0.0149719125
146	1 23	1 26	1 62	1 65	-0.006364692
147	1 23	1 26	1 65	1 68	-0.003245001
148	1 23	1 26	1 68	1 71	-0.0029928375
149	1 23	1 26	1 71	1 2	-0.0417006125
150	1 23	1 26	1 2	1 61	0.057275378
151	1 23	1 26	1 61	1 64	-0.007093514
152	1 23	1 26	1 64	1 67	-0.004149694
153	1 23	1 26	1 67	1 70	-0.003589878
154	1 23	1 26	1 70	1 1	-0.0401665765
155	1 23	1 26	1 72	1 3	-0.044561762
156	1 24	1 27	1 1	1 4	-0.009104551
157	1 24	1 27	1 4	1 7	-0.013245876
158	1 24	1 27	1 7	1 10	-0.023755614
159	1 24	1 27	1 10	1 13	-0.057883099
160	1 24	1 27	1 13	1 16	-0.435816537
161	1 24	1 27	1 16	1 19	-0.339730027
162	1 24	1 27	1 19	1 22	-1.840722496
163	1 24	1 27	1 25	1 28	-0.2588639
164	1 24	1 27	1 28	1 31	-2.828147863
165	1 24	1 27	1 2	1 5	-0.011427556
166	1 24	1 27	1 5	1 8	-0.017285245
167	1 24	1 27	1 8	1 11	-0.02727192
168	1 24	1 27	1 11	1 14	-0.14647064
169	1 24	1 27	1 14	1 17	-0.45047526
170	1 24	1 27	1 17	1 20	-0.474353735
171	1 24	1 27	1 20	1 23	-13.81400064
172	1 24	1 27	1 26	1 29	-3.685591355
173	1 24	1 27	1 29	1 32	-1.210924557
174	1 24	1 27	1 3	1 6	-0.011559901
175	1 24	1 27	1 6	1 9	-0.021211857
176	1 24	1 27	1 9	1 12	-0.035410101
177	1 24	1 27	1 12	1 15	-0.332075028
178	1 24	1 27	1 15	1 18	-0.357754789
179	1 24	1 27	1 18	1 21	-0.900270248
180	1 24	1 27	1 21	1 30	2.990253627
181	1 24	1 27	1 30	1 33	-0.59080196
182	1 24	1 27	1 33	1 36	-0.475393569
183	1 24	1 27	1 36	1 39	-0.138202185
184	1 24	1 27	1 31	1 34	-0.395719036
185	1 24	1 27	1 34	1 37	-0.47082703
186	1 24	1 27	1 37	1 40	-0.052484606
187	1 24	1 27	1 40	1 43	-0.026706221
188	1 24	1 27	1 43	1 46	-0.014665899
189	1 24	1 27	1 46	1 49	0.1053846175
190	1 24	1 27	1 49	1 52	-0.009582188
191	1 24	1 27	1 52	1 55	-0.016043443499999997
192	1 24	1 27	1 55	1 58	-0.049837562
193	1 24	1 27	1 58	1 61	-0.041992348
194	1 24	1 27	1 32	1 35	-0.408207258
195	1 24	1 27	1 35	1 38	-0.327051048
196	1 24	1 27	1 38	1 41	-0.034738971
197	1 24	1 27	1 41	1 44	-0.023360145
198	1 24	1 27	1 44	1 47	-0.013639078
199	1 24	1 27	1 47	1 50	0.1096941825
200	1 24	1 27	1 50	1 53	-0.016286371
201	1 24	1 27	1 53	1 56	-0.0217047085
202	1 24	1 27	1 56	1 59	-0.06680996
203	1 24	1 27	1 59	1 62	-0.015989345500000002
204	1 24	1 27	1 39	1 42	-0.030510464
205	1 24	1 27	1 42	1 45	-0.017872018
206	1 24	1 27	1 45	1 48	-0.011209625
207	1 24	1 27	1 48	1 51	0.1093502485
208	1 24	1 27	1 51	1 54	-0.017487593000000003
209	1 24	1 27	1 54	1 57	-0.0313709435
210	1 24	1 27	1 57	1 60	-0.061777501
211	1 24	1 27	1 60	1 63	-0.0095999095
212	1 24	1 27	1 63	1 66	-0.0063964625
213	1 24	1 27	1 66	1 69	-0.004226144
214	1 24	1 27	1 61	1 64	-0.007865991499999999
215	1 24	1 27	1 64	1 67	-0.004906324
216	1 24	1 27	1 67	1 70	-0.0046129235
217	1 24	1 27	1 70	1 1	-0.0395510275
218	1 24	1 27	1 1	1 62	0.05369838
219	1 24	1 27	1 62	1 65	-0.007145653
220	1 24	1 27	1 65	1 68	-0.0040328215
221	1 24	1 27	1 68	1 71	-0.0037780030000000003
222	1 24	1 27	1 71	1 2	-0.040749147
223	1 24	1 27	1 69	1 72	-0.0028955345
224	1 24	1 27	1 72	1 3	-0.042986733
225	1 27	1 30	1 43	1 46	-0.003042797
226	1 28	1 31	1 40	1 43	-0.010403491
227	1 31	1 34	1 72	1 3	-0.0045491595
228	1 32	1 35	1 9	1 12	-0.003848233
229	1 33	1 36	1 29	1 32	-1.972640803
230	1 35	1 38	1 16	1 19	-0.012507347
231	1 38	1 41	1 64	1 67	0.0067583545
232	1 39	1 42	1 27	1 30	-0.009354758
233	1 40	1 43	1 37	1 32	0.35749446
234	1 40	1 43	1 45	1 48	-0.375182716
235	1 41	1 44	1 36	1 39	-0.356477963
236	1 41	1 44	1 47	1 50	-0.347648753
237	1 43	1 46	1 45	1 48	-0.946621861
238	1 44	1 47	1 35	1 38	-0.056110146
239	1 45	1 48	1 28	1 31	-0.002904215
240	1 45	1 48	1 5	1 8	-0.003035639
241	1 46	1 49	1 1	1 4	0.010234628
242	1 46	1 49	1 7	1 10	0.018090727
243	1 46	1 49	1 10	1 13	0.028771329
244	1 46	1 49	1 13	1 16	0.165350923
