8691
1	1 1	1 4	1 5	1 8
2	1 1	1 4	1 11	1 14
3	1 1	1 4	1 6	1 9
4	1 1	1 4	1 7	1 10
5	1 1	1 4	1 10	1 13
6	1 1	1 4	1 56	1 59
7	1 1	1 4	1 49	1 52
8	1 1	1 4	1 61	1 64
9	1 1	1 4	1 2	1 63
10	1 2	1 5	1 7	1 10
11	1 2	1 5	1 22	1 25
12	1 2	1 5	1 3	1 6
13	1 2	1 5	1 6	1 9
14	1 2	1 5	1 24	1 27
15	1 2	1 5	1 23	1 26
16	1 2	1 5	1 43	1 46
17	1 2	1 5	1 42	1 45
18	1 2	1 5	1 41	1 44
19	1 2	1 5	1 44	1 47
20	1 2	1 5	1 65	1 68
21	1 2	1 5	1 64	1 67
22	1 2	1 5	1 67	1 70
23	1 2	1 5	1 70	1 1
24	1 2	1 5	1 1	1 63
25	1 2	1 5	1 63	1 66
26	1 2	1 5	1 66	1 69
27	1 2	1 5	1 69	1 72
28	1 2	1 5	1 68	1 71
29	1 3	1 6	1 1	1 4
30	1 3	1 6	1 7	1 10
31	1 3	1 6	1 2	1 5
32	1 3	1 6	1 5	1 8
33	1 3	1 6	1 8	1 11
34	1 3	1 6	1 17	1 20
35	1 3	1 6	1 23	1 26
36	1 3	1 6	1 18	1 21
37	1 3	1 6	1 37	1 40
38	1 3	1 6	1 40	1 43
39	1 3	1 6	1 43	1 46
40	1 3	1 6	1 38	1 41
41	1 3	1 6	1 41	1 44
42	1 3	1 6	1 44	1 47
43	1 3	1 6	1 39	1 42
44	1 3	1 6	1 42	1 45
45	1 3	1 6	1 60	1 63
46	1 3	1 6	1 63	1 66
47	1 3	1 6	1 66	1 69
48	1 3	1 6	1 61	1 64
49	1 3	1 6	1 64	1 67
50	1 3	1 6	1 67	1 70
51	1 3	1 6	1 1	1 62
52	1 3	1 6	1 62	1 65
53	1 3	1 6	1 65	1 68
54	1 3	1 6	1 68	1 71
55	1 3	1 6	1 71	1 2
56	1 3	1 6	1 69	1 72
57	1 4	1 7	1 5	1 8
58	1 4	1 7	1 8	1 11
59	1 4	1 7	1 11	1 14
60	1 4	1 7	1 6	1 9
61	1 4	1 7	1 9	1 12
62	1 4	1 7	1 12	1 15
63	1 4	1 7	1 21	1 24
64	1 4	1 7	1 10	1 13
65	1 4	1 7	1 34	1 37
66	1 4	1 7	1 35	1 38
67	1 4	1 7	1 38	1 41
68	1 4	1 7	1 41	1 44
69	1 4	1 7	1 44	1 47
70	1 4	1 7	1 47	1 50
71	1 4	1 7	1 59	1 62
72	1 4	1 7	1 36	1 39
73	1 4	1 7	1 39	1 42
74	1 4	1 7	1 42	1 45
75	1 4	1 7	1 57	1 60
76	1 4	1 7	1 60	1 63
77	1 4	1 7	1 40	1 43
78	1 4	1 7	1 43	1 46
79	1 4	1 7	1 49	1 52
80	1 4	1 7	1 61	1 64
81	1 4	1 7	1 64	1 67
82	1 4	1 7	1 67	1 70
83	1 4	1 7	1 62	1 65
84	1 4	1 7	1 65	1 68
85	1 4	1 7	1 2	1 63
86	1 4	1 7	1 63	1 66
87	1 4	1 7	1 66	1 69
88	1 5	1 8	1 1	1 4
89	1 5	1 8	1 4	1 7
90	1 5	1 8	1 7	1 10
91	1 5	1 8	1 13	1 16
92	1 5	1 8	1 19	1 22
93	1 5	1 8	1 3	1 6
94	1 5	1 8	1 6	1 9
95	1 5	1 8	1 9	1 12
96	1 5	1 8	1 40	1 43
97	1 5	1 8	1 43	1 46
