5169
102	1 6	1 9	1 67	1 70	-0.03167344202516488
103	1 6	1 9	1 1	1 62	0.7799432425903111
104	1 6	1 9	1 62	1 65	-0.0583465863089703
105	1 6	1 9	1 65	1 68	-0.05419952817870842
106	1 6	1 9	1 71	1 2	-0.9764436008835975
107	1 7	1 10	1 67	1 64	0.054940872815985774
108	1 7	1 10	1 64	1 61	0.03982700624104095
109	1 7	1 10	1 61	1 58	0.026318406529586558
110	1 7	1 10	1 49	1 46	-0.061130469518523745
111	1 7	1 10	1 5	1 8	-3.5019833287049495
112	1 7	1 10	1 11	1 14	-2.9455541042384925
113	1 7	1 10	1 14	1 17	-0.32127848474153664
114	1 7	1 10	1 3	1 6	-6.453586690322409
115	1 7	1 10	1 24	1 27	-0.05319042786828599
116	1 7	1 10	1 30	1 33	-0.006667583108960038
117	1 7	1 10	1 22	1 25	-0.052927677091622764
118	1 7	1 10	1 31	1 34	-0.007347413013227401
119	1 7	1 10	1 34	1 37	-0.006150170116652649
120	1 7	1 10	1 37	1 40	-0.007192897886296694
121	1 7	1 10	1 40	1 43	-0.009109653428385968
122	1 7	1 10	1 32	1 35	-0.007234174937263196
123	1 7	1 10	1 35	1 38	-0.0074155616288371536
124	1 7	1 10	1 38	1 41	-0.006314608455248718
125	1 7	1 10	1 41	1 44	-0.009905796364681651
126	1 7	1 10	1 44	1 47	-0.007087274803734359
127	1 7	1 10	1 47	1 50	0.06411342136424814
128	1 7	1 10	1 59	1 62	-0.02903954711211911
129	1 7	1 10	1 36	1 39	-0.007759843273893728
130	1 7	1 10	1 39	1 42	-0.00717450510475055
131	1 7	1 10	1 42	1 45	-0.009570285819955391
132	1 7	1 10	1 48	1 51	0.06734953211043858
133	1 7	1 10	1 60	1 63	-0.03208164497640303
134	1 7	1 10	1 46	1 62	0.040787725162597106
135	1 7	1 10	1 62	1 65	-0.052539474318362867
136	1 7	1 10	1 2	1 63	0.7516979762441386
137	1 7	1 10	1 63	1 66	-0.0589518158612182
138	1 7	1 10	1 66	1 69	-0.03124972413198183
139	1 7	1 10	1 72	1 3	-0.9155174066165945
140	1 8	1 11	1 4	1 7	-6.576053829780668
141	1 8	1 11	1 7	1 10	9.64515435067572
142	1 8	1 11	1 68	1 65	0.02946477664123846
143	1 8	1 11	1 62	1 59	0.030082697545341923
144	1 8	1 11	1 50	1 47	-0.05929801074205121
145	1 8	1 11	1 3	1 6	-1.8149515452241558
146	1 8	1 11	1 32	1 35	-0.00787854953844445
147	1 8	1 11	1 35	1 38	-0.006851227829861984
148	1 8	1 11	1 41	1 44	-0.007486188966694021
149	1 8	1 11	1 34	1 37	-0.005936191671567953
150	1 8	1 11	1 40	1 43	-0.007061698659323554
151	1 8	1 11	1 46	1 49	0.05685912412879911
152	1 8	1 11	1 36	1 39	-0.007146089696374215
153	1 8	1 11	1 39	1 42	-0.005624939325850292
154	1 8	1 11	1 42	1 45	-0.007179929646849366
155	1 8	1 11	1 48	1 51	0.061649504467068295
156	1 8	1 11	1 44	1 47	-0.0050838710044782826
157	1 8	1 11	1 47	1 61	0.03200523952780242
158	1 8	1 11	1 64	1 67	-0.037993650774787016
159	1 8	1 11	1 67	1 70	-0.014601760592714182
160	1 8	1 11	1 1	1 63	0.3232916670476678
161	1 8	1 11	1 63	1 66	-0.04192908961073309
162	1 8	1 11	1 72	1 3	-0.5649626443200275
163	1 9	1 12	1 13	1 16	-5.639921390010009
164	1 9	1 12	1 22	1 25	-0.08799348627820558
165	1 9	1 12	1 28	1 31	-0.006146352417793927
166	1 9	1 12	1 5	1 8	-5.271155375964259
167	1 9	1 12	1 29	1 32	-0.009555065221634643
168	1 9	1 12	1 63	1 60	0.031664095206784836
169	1 9	1 12	1 57	1 54	0.016287653712449127
170	1 9	1 12	1 51	1 48	-0.07918268146132973
171	1 9	1 12	1 27	1 30	-0.0017717789492457036
172	1 9	1 12	1 30	1 33	-0.013908698397939076
173	1 9	1 12	1 36	1 39	-0.008731601250752143
174	1 9	1 12	1 39	1 42	-0.004911861750556355
175	1 9	1 12	1 31	1 34	-0.01423074780644289
176	1 9	1 12	1 34	1 37	-0.008209331131792846
177	1 9	1 12	1 40	1 43	-0.005998590507785965
178	1 9	1 12	1 46	1 49	0.07590275774849667
179	1 9	1 12	1 52	1 55	-0.005708590918277499
180	1 9	1 12	1 55	1 58	-0.020479844556879352
181	1 9	1 12	1 32	1 35	-0.013015349735863057
182	1 9	1 12	1 35	1 38	-0.008656223400633985
183	1 9	1 12	1 41	1 44	-0.006067036370342775
184	1 9	1 12	1 44	1 47	-0.0032267732813413648
185	1 9	1 12	1 47	1 50	0.07748383634701392
186	1 9	1 12	1 50	1 53	0.0013121587864853973
187	1 9	1 12	1 59	1 62	-0.04038136555604524
188	1 9	1 12	1 48	1 61	0.008494785048388917
189	1 9	1 12	1 1	1 62	0.01997283159867074
190	1 10	1 13	1 4	1 7	-0.7425771872866815
191	1 10	1 13	1 7	1 2	0.8822648595823193
192	1 10	1 13	1 14	1 17	-6.930697125786002
193	1 10	1 13	1 6	1 9	-2.8313357956760052
194	1 10	1 13	1 18	1 21	-0.490545124703563
195	1 10	1 13	1 24	1 27	-0.13007690029690638
196	1 10	1 13	1 30	1 33	-0.022139639026178742
197	1 10	1 13	1 22	1 25	-0.1804142489348513
198	1 10	1 13	1 28	1 31	-0.010204163187395053
199	1 10	1 13	1 31	1 34	-0.02270610481339222
200	1 10	1 13	1 34	1 37	-0.01190329434681716
201	1 10	1 13	1 23	1 26	-0.08990366770405794
202	1 10	1 13	1 29	1 32	-0.015838445978796765
203	1 10	1 13	1 32	1 35	-0.02074106084640949
204	1 10	1 13	1 35	1 38	-0.011847429643039559
205	1 10	1 13	1 47	1 50	0.11030920821651533
206	1 10	1 13	1 33	1 36	-0.01560990265456802
207	1 10	1 13	1 39	1 42	-0.005250775421378416
208	1 10	1 13	1 48	1 51	0.11149204395535164
209	1 10	1 13	1 57	1 60	-0.05551745123359581
210	1 10	1 13	1 46	1 49	0.10867353711868447
211	1 10	1 13	1 55	1 58	-0.03774242060921401
212	1 10	1 13	1 68	1 71	0.003639837582140509
213	1 10	1 13	1 2	1 63	-0.12680081579125002
214	1 11	1 14	1 8	1 3	0.9054789155315723
215	1 11	1 14	1 6	1 9	-1.6640861798051716
216	1 11	1 14	1 23	1 26	-0.19228429002415848
217	1 11	1 14	1 29	1 32	-0.020801478503891
218	1 11	1 14	1 32	1 35	-0.026577417404214987
219	1 11	1 14	1 35	1 38	-0.013848563330644244
220	1 11	1 14	1 24	1 27	-0.18224173773532
221	1 11	1 14	1 27	1 30	-0.004212730127131116
222	1 11	1 14	1 30	1 33	-0.029270138238851204
223	1 11	1 14	1 33	1 36	-0.019837810595735163
224	1 11	1 14	1 45	1 48	-0.0005830237082393662
225	1 11	1 14	1 48	1 51	0.13637077818832005
226	1 11	1 14	1 51	1 54	-0.02010673076075307
227	1 11	1 14	1 31	1 34	-0.02950278187442809
228	1 11	1 14	1 34	1 37	-0.014291997520096127
229	1 11	1 14	1 46	1 49	0.1345334058880255
230	1 11	1 14	1 52	1 55	-0.03316603370553568
231	1 11	1 14	1 55	1 58	-0.05158666731433388
232	1 11	1 14	1 58	1 61	-0.06893974133384162
233	1 11	1 14	1 47	1 50	0.13581103434662017
234	1 11	1 14	1 50	1 53	-0.007949853326056983
235	1 11	1 14	1 53	1 56	-0.05361426411882949
236	1 11	1 14	1 56	1 59	-0.04597256124453032
237	1 11	1 14	1 59	1 62	-0.05834148466721846
238	1 11	1 14	1 69	1 72	0.008023474276969606
239	1 11	1 14	1 3	1 61	-0.14895750894551574
240	1 12	1 15	1 7	1 10	-1.207974705305338
241	1 12	1 15	1 10	1 13	-2.091051076568328
242	1 12	1 15	1 13	1 16	14.037873998759327
243	1 12	1 15	1 28	1 31	-0.016116974514218986
244	1 12	1 15	1 8	1 11	-3.8485697818243376
245	1 12	1 15	1 11	1 14	10.920754694698374
246	1 12	1 15	1 14	1 17	-2.5440404297145145
247	1 12	1 15	1 20	1 23	-0.18144277235069234
