Spa.1,Spa.2,Spa.3,Spa.4,Vp,In
1,4,2,5,0.013,0
1,4,5,8,0.01,0
1,4,8,11,0,0
1,4,11,14,0,0
1,4,14,17,0.019,0
1,4,17,20,0.01,0
1,4,20,23,0.029,0
1,4,23,26,0.01,0
1,4,26,29,0.048,0
1,4,29,32,0.048,0
1,4,3,6,-847.468,1254.997
1,4,6,9,-547.639,1254.997
1,4,9,12,-54.814,1254.997
1,4,12,15,-44.048,1254.997
1,4,15,18,-23.38,1254.997
1,4,18,21,-3.984,1254.997
1,4,21,24,-2.435,1254.997
1,4,24,27,-12.991,1254.997
1,4,27,30,0.111,1254.997
1,4,30,33,0.022,1254.997
1,4,7,10,-208.01,1245.342
1,4,10,13,-38.041,1245.342
1,4,13,16,-48.855,1245.342
1,4,16,19,-11.316,1245.342
1,4,19,22,-2.757,1245.342
1,4,22,25,-14.598,1245.342
1,4,25,28,0.099,1245.342
1,4,28,31,0.554,1245.342
1,4,31,34,-0.496,1245.342
1,4,34,37,-0.258,1245.342
1,4,32,35,-0.038,1241.422
1,4,35,38,-0.436,1241.422
1,4,38,41,-1.307,1241.422
1,4,41,44,-3.718,1241.422
1,4,44,47,-5.46,1241.422
1,4,47,50,15.399,1241.422
1,4,50,53,0.881,1241.422
1,4,53,56,1.145,1241.422
1,4,56,59,3.024,1241.422
1,4,59,62,-0.582,1241.422
1,4,33,36,-0.205,1239.355
1,4,36,39,-0.582,1239.355
1,4,39,42,-2.019,1239.355
1,4,42,45,-4.389,1239.355
1,4,45,48,-4.929,1239.355
1,4,48,51,17.062,1239.355
1,4,51,54,0.917,1239.355
1,4,54,57,1.649,1239.355
1,4,57,60,2.475,1239.355
1,4,60,63,-1.427,1239.355
1,4,37,40,-1.082,1238.206
1,4,40,43,-2.785,1238.206
1,4,43,46,-4.971,1238.206
1,4,46,49,13.679,1238.206
1,4,49,52,0.573,1238.206
1,4,52,55,0.935,1238.206
1,4,55,58,2.526,1238.206
1,4,58,61,0.931,1238.206
1,4,61,64,-2.564,1238.206
1,4,64,67,-8.549,1238.206
1,4,62,65,-4.295,1237.708
1,4,65,68,-12.587,1237.708
1,4,68,71,-11.618,1237.708
1,4,71,2,-1368.99,1237.708
1,4,2,63,1396.867,1237.708
1,4,63,66,-6.281,1237.708
1,4,66,69,-15.452,1237.708
1,4,69,72,-9.554,1237.708
1,4,72,3,53.405,42.901
1,4,67,70,-15.271,1245.645
2,5,1,4,3168.387,1252.02
2,5,4,7,-510.079,1252.02
2,5,7,10,-404.108,1252.02
2,5,10,13,-57.806,1252.02
2,5,13,16,-66.3,1252.02
2,5,16,19,-14.998,1252.02
2,5,19,22,-3.577,1250.46
2,5,22,25,-18.341,1250.46
2,5,25,28,0.102,1250.46
2,5,28,31,0.315,1250.46
2,5,3,6,3302.569,1249.501
2,5,6,9,-1523.168,1249.501
2,5,9,12,-86.042,1249.501
2,5,12,15,-59.927,1249.501
2,5,15,18,-30.776,1249.501
2,5,18,21,-5.221,1253.632
2,5,21,24,-2.952,1253.632
2,5,24,27,-16.058,1253.632
2,5,27,30,0.114,1253.632
2,5,30,33,-0.035,1253.632
2,5,8,11,-151.62,1253.172
2,5,11,14,-48.009,1253.172
2,5,14,17,-56.368,1253.172
2,5,17,20,-8.476,1253.172
2,5,20,23,-2.826,1253.172
2,5,23,26,-17.598,1253.172
2,5,26,29,0.038,1253.172
2,5,29,32,0,1253.172
2,5,32,35,-0.458,1253.172
2,5,35,38,-0.96,1253.172
2,5,31,34,-0.265,1252.373
2,5,34,37,-0.887,1252.373
2,5,37,40,-1.296,1252.373
2,5,40,43,-3.544,1252.373
2,5,43,46,-5.677,1252.373
2,5,46,49,17.121,1252.373
2,5,49,52,0.893,1252.373
2,5,52,55,1.056,1252.373
2,5,55,58,2.569,1252.373
2,5,58,61,0.574,1252.373
2,5,33,36,-0.773,1252.402
2,5,36,39,-0.944,1252.402
2,5,39,42,-2.524,1252.402
2,5,42,45,-5.197,1252.402
2,5,45,48,-5.561,1252.402
2,5,48,51,21.041,1252.402
2,5,51,54,1.03,1252.402
2,5,54,57,1.695,1252.402
2,5,57,60,2.184,1252.402
2,5,60,63,-2.168,1252.402
2,5,38,41,-1.641,1253.002
2,5,41,44,-4.467,1253.002
2,5,44,47,-6.19,1253.002
2,5,47,50,19.397,1253.002
2,5,50,53,1.011,1253.002
2,5,53,56,1.231,1253.002
2,5,56,59,2.913,1253.002
2,5,59,62,-1.091,1253.002
2,5,62,65,-5.765,1253.002
2,5,65,68,-15.151,1253.002
2,5,61,64,-3.545,1252.626
2,5,64,67,-10.622,1252.626
2,5,67,70,-17.477,1252.626
2,5,70,1,-2073.221,1252.626
2,5,1,63,2101.35,1252.044
2,5,63,66,-8.13,1252.044
2,5,66,69,-17.996,1252.044
2,5,69,72,-10.206,1252.044
2,5,72,3,-1553.685,1252.044
2,5,68,71,-13.001,1253.289
3,6,1,4,-839.727,1238.488
3,6,4,7,2786.625,1238.488
3,6,7,10,-862.316,1238.488
3,6,10,13,-76.001,1238.488
3,6,13,16,-74.396,1238.488
3,6,16,19,-16.27,1238.488
3,6,19,22,-3.768,1237.925
3,6,22,25,-18.656,1237.925
3,6,25,28,0.089,1237.925
3,6,28,31,-0.067,1237.925
3,6,2,5,2809.902,1063.119
3,6,5,8,-625.542,1063.119
3,6,8,11,-203.488,1063.119
3,6,11,14,-50.268,1063.119
3,6,14,17,-53.499,1063.119
3,6,17,20,-9.087,1237.741
3,6,20,23,-2.923,1237.741
3,6,23,26,-17.738,1237.741
3,6,26,29,0.022,1237.741
3,6,29,32,-0.048,1237.741
3,6,9,12,-120.611,1237.641
3,6,12,15,-68.796,1237.641
3,6,15,18,-33.796,1237.641
3,6,18,21,-5.485,1237.641
3,6,21,24,-3.093,1237.641
3,6,24,27,-16.098,1237.641
3,6,27,30,0.048,1237.641
3,6,30,33,-0.13,1237.641
3,6,33,36,-1.205,1237.641
3,6,36,39,-1.059,1237.641
3,6,31,34,-0.159,1236.521
3,6,34,37,-1.334,1236.521
3,6,37,40,-1.346,1236.521
3,6,40,43,-3.33,1236.521
3,6,43,46,-5.084,1236.521
3,6,46,49,16.767,1236.521
3,6,49,52,0.835,1236.521
3,6,52,55,0.913,1236.521
3,6,55,58,1.881,1236.521
3,6,58,61,-0.083,1236.521
3,6,32,35,-0.63,1236.318
3,6,35,38,-1.281,1236.318
3,6,38,41,-1.625,1236.318
3,6,41,44,-4.147,1236.318
3,6,44,47,-5.456,1236.318
3,6,47,50,18.929,1236.318
3,6,50,53,0.938,1236.318
3,6,53,56,1.021,1236.318
3,6,56,59,1.933,1236.318
3,6,59,62,-1.456,1236.318
3,6,39,42,-2.442,1236.623
3,6,42,45,-4.705,1236.623
3,6,45,48,-4.858,1236.623
3,6,48,51,20.329,1236.623
3,6,51,54,0.919,1236.623
3,6,54,57,1.32,1236.623
3,6,57,60,1.285,1236.623
3,6,60,63,-2.509,1236.623
3,6,63,66,-8.2,1236.623
3,6,66,69,-16.099,1236.623
3,6,61,64,-3.853,1236.557
3,6,64,67,-10.199,1236.557
3,6,67,70,-15.36,1236.557
3,6,70,1,-873.865,1236.557
3,6,1,62,902.413,1236.557
3,6,62,65,-5.995,1236.557
