Spa.1,Spa.2,Spa.3,Spa.4,Vp,In
1,4,2,5,3181.178,1257.443
1,4,5,8,-1582.259,1257.443
1,4,8,11,-90.525,1257.443
1,4,11,14,-33.327,1257.443
1,4,14,17,-42.583,1257.443
1,4,17,20,-6.448,1255.025
1,4,20,23,-2.168,1255.025
1,4,23,26,-13.958,1255.025
1,4,26,29,0.07,1255.025
1,4,29,32,0.073,1255.025
1,4,3,6,-845.55,1254.34
1,4,6,9,-547.276,1254.34
1,4,9,12,-54.785,1254.34
1,4,12,15,-44.111,1254.34
1,4,15,18,-23.189,1254.34
1,4,18,21,-3.965,1254.34
1,4,21,24,-2.377,1254.34
1,4,24,27,-12.724,1254.34
1,4,27,30,0.111,1254.34
1,4,30,33,0.035,1254.34
1,4,7,10,-209.317,1252.473
1,4,10,13,-38.216,1252.473
1,4,13,16,-49.205,1252.473
1,4,16,19,-11.468,1252.473
1,4,19,22,-2.776,1252.473
1,4,22,25,-14.598,1252.473
1,4,25,28,0.118,1252.473
1,4,28,31,0.07,1252.473
1,4,31,34,0,1252.473
1,4,34,37,-0.312,1252.473
1,4,32,35,-0.057,1252.362
1,4,35,38,-0.46,1252.362
1,4,38,41,-1.29,1252.362
1,4,41,44,-3.748,1252.362
1,4,44,47,-5.462,1252.362
1,4,47,50,15.922,1252.362
1,4,50,53,0.943,1252.362
1,4,53,56,1.81,1252.362
1,4,56,59,1.936,1252.362
1,4,59,62,-0.553,1252.362
1,4,33,36,-0.261,1252.683
1,4,36,39,-0.626,1252.683
1,4,39,42,-2.035,1252.683
1,4,42,45,-4.443,1252.683
1,4,45,48,-4.96,1252.683
1,4,48,51,17.412,1252.683
1,4,51,54,1.138,1252.683
1,4,54,57,2.111,1252.683
1,4,57,60,1.262,1252.683
1,4,60,63,-1.326,1252.683
1,4,37,40,-1.014,1252.505
1,4,40,43,-2.9,1252.505
1,4,43,46,-4.954,1252.505
1,4,46,49,13.924,1252.505
1,4,49,52,0.601,1252.505
1,4,52,55,1.701,1252.505
