5453
1	1 1	1 4	1 5	1 8	-5.123461291238302	-5.0589294048608195
2	1 1	1 4	1 7	1 10	-0.9578491204664823	-0.9405503151937318
3	1 1	1 4	1 2	1 63	-0.17808192157955338	-0.2042652862962034
4	1 2	1 5	1 6	1 9	-5.358740144258151	-5.353063664056405
5	1 2	1 5	1 17	1 20	-0.3846519649826713	-0.4087059740149257
6	1 2	1 5	1 42	1 45	-0.008658536305426033	-0.008822766011520645
7	1 2	1 5	1 45	1 48	-0.008163932759902782	-0.007960758983852883
8	1 2	1 5	1 41	1 44	-0.008271699709334444	-0.008785252605816786
9	1 2	1 5	1 44	1 47	-0.008461390844538487	-0.008304021787004578
10	1 2	1 5	1 65	1 68	-0.036194928431236235	-0.045668072151361164
11	1 2	1 5	1 64	1 67	-0.03536836091781907	-0.03884968114187215
12	1 2	1 5	1 67	1 70	-0.04255976364561183	-0.043310017996609676
13	1 2	1 5	1 70	1 1	-7.015236649722145	-6.986051069516057
14	1 2	1 5	1 1	1 63	7.319330454159359	7.288555824531815
15	1 2	1 5	1 63	1 66	-0.032401099984353296	-0.034601727883045594
16	1 2	1 5	1 66	1 69	-0.04121688506252846	-0.042597269969794446
17	1 3	1 6	1 8	1 11	-1.75492980458771	-1.824962598140273
18	1 3	1 6	1 37	1 40	-0.0049756225780568045	-0.0050905871037595155
19	1 3	1 6	1 43	1 46	-0.008580002754187202	-0.008542842707502128
20	1 3	1 6	1 38	1 41	-0.0048092840951494565	-0.00481973734867272
21	1 3	1 6	1 41	1 44	-0.009150747777865132	-0.009304828338660809
22	1 3	1 6	1 44	1 47	-0.008311770785655457	-0.008117625630519919
23	1 3	1 6	1 42	1 45	-0.009247606985279952	-0.009214417694665009
24	1 3	1 6	1 45	1 48	-0.007927159874618641	-0.007590666057965935
25	1 3	1 6	1 63	1 66	-0.041762140253161675	-0.044853223789434224
26	1 3	1 6	1 66	1 69	-0.04276788502472273	-0.04346354819195955
27	1 3	1 6	1 61	1 64	-0.026102552778364235	-0.02358128220121751
28	1 3	1 6	1 64	1 67	-0.043305612180984956	-0.04748309691988672
