a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resInvError
1,4,5,8,-401.722,75.153,0.0,-5.345388740303115,,,,-9.773843811168247,52.244994657700026,-281,0.08865739896266307,0.4537922422269425,-5.118492619189643,,
1,4,6,9,-1478.186,836.299,0.0,-1.767532903901595,,,,-27.925268031909276,49.358830096670985,12,0.0726616023999966,0.13327371389698595,-1.834169760850088,,0.92988
1,4,7,10,-395.327,381.905,0.0,-1.0351448658697844,,,,-56.54866776461626,58.5360631083187,-421,0.09830189265511458,0.09698957032199529,-0.9866500807087868,,
1,4,2,63,982.029,836.011,0.0,1.174660381262926,,,,12.5457924965409,14.737045397232288,0,,,1.174660381262926,,1.02734
2,5,1,4,5014.683,646.89,0.0,7.751987200296805,,,,5.026548245743669,38.96573766267928,-17675,0.03242952227712746,0.24738200153909595,7.628296199527257,,
2,5,7,10,-1147.567,646.89,0.0,-1.7739754826941212,,,,-27.925268031909276,49.53874083626897,-17247,-0.03868315182840832,-0.0699764171208781,-1.8089636912545601,,
2,5,22,25,-71.854,646.89,0.0,-0.11107607166597103,,,,-2729.6949501191402,303.2037919056728,78,-0.030392278998150748,-0.0033253228895812337,-0.10941341022118041,,-1.61308
2,5,6,9,-3152.615,585.754,0.0,-5.382148478712907,,,,-9.773843811168247,52.604278599456734,-361,-0.04858609426596283,-0.2680083118930012,-5.516152634659408,,
2,5,8,11,-76.56,88.055,0.0,-0.8694565896314803,,,,-56.54866776461626,49.16661182282688,-17182,-0.01594407616498284,-0.013974084017183475,-0.8764436316400721,,
2,5,14,17,-355.892,88.055,0.0,-4.041701209471353,,,,-565.4866776461627,2285.5281889824328,-929,-0.03912957092147388,-0.16130595043318152,-4.122354184687944,,
2,5,17,20,-32.722,88.055,0.0,-0.3716086536823576,,,,-1130.9733552923267,420.27948591080025,-1143,0.0010276573477757686,0.0003816902400638478,-0.3714178085623257,,
