a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0,resInvError
1,4,5,8,-487.146,95.234,0.0,-5.115252955877104,,,,-9.773843811168247,49.99568344535951,2,-0.015685974132184647,-0.07961331931181803,-5.075446296221195,,-5.115252955877104,-5.075446296221195,0.66045
1,4,24,27,8.215,783.466,0.0,0.01048545820750358,,,,-4174.827570770416,-43.77498001684689,18,0.04723233983903348,0.0005072315929115379,0.010739074003959348,,0.01048545820750358,0.010739074003959348,
1,4,7,10,-69.925,72.903,0.0,-0.9591512009107992,,,,-56.54866776461626,54.23872259633749,21,-0.03179963273676146,-0.030023291112523554,-0.9441395553545374,,-0.9591512009107992,-0.9441395553545374,-1.75969
1,4,2,63,-416.04,784.539,0.0,-0.5302986849602124,,,,12.5457924965409,-6.653017262699339,0,,,-0.5302986849602124,,-0.5302986849602124,-0.5302986849602124,
2,5,7,10,-1009.781,583.885,0.0,-1.7294176079193677,,,,-27.925268031909276,48.29445024025173,-431,-0.04975167673076231,-0.08823637968057296,-1.7735357977596542,,-1.7294176079193677,-1.7735357977596542,
2,5,13,16,3240.119,583.885,0.0,5.549241717118954,,,,-430.04912769140304,-2386.4465597957496,75,-0.029279300891961034,-0.1601336177689605,5.469174908234473,,5.549241717118954,5.469174908234473,
2,5,24,27,-117.686,525.926,0.0,-0.2237691234127995,,,,-3647.7381366681584,816.2511652816725,88,-0.014473452792575807,-0.0032154425660576857,-0.22216140212977065,,-0.2237691234127995,-0.22216140212977065,-2.51006
2,5,11,14,324.873,76.267,0.0,4.259679809091743,,,,-226.194671058465,-963.5168732318917,92,0.047095391022550226,0.2054491400325782,4.362404379108032,,4.259679809091743,4.362404379108032,
2,5,14,17,-313.783,76.267,0.0,-4.114269605465012,,,,-565.4866776461627,2326.564650134998,-929,-0.0361597088825165,-0.15151007123206117,-4.190024641081042,,-4.114269605465012,-4.190024641081042,
2,5,37,40,-2.97,696.513,0.0,-0.004264098444680861,,,,-14856.242592975721,63.34848093450933,103,-0.039536798570409454,-0.00016532067615540342,-0.0041814381066031595,,-0.004264098444680861,-0.0041814381066031595,0.41251
2,5,41,44,-5.895,696.67,0.0,-0.008461682001521524,,,,-20583.715066320397,174.17285130113072,122,0.01088039073167126,9.257000533775817e-05,-0.008507967004190403,,-0.008461682001521524,-0.008507967004190403,0.27673
2,5,65,68,-25.671,696.67,0.0,-0.03684814905191841,,,,-87084.94835750671,3208.919157256025,130,-0.017073305374857052,-0.0006237945835535566,-0.036536251760141636,,-0.03684814905191841,-0.036536251760141636,0.0941
2,5,64,67,-22.946,696.523,0.0,-0.03294363574497899,,,,-82997.38724933649,2734.235693327105,132,-0.012720661307140203,-0.0004164162872611621,-0.032735427601348406,,-0.03294363574497899,-0.032735427601348406,0.17291
2,5,67,70,-28.647,696.523,0.0,-0.04112857723291262,,,,-95658.00564330864,3934.2776730472106,133,0.036460079368836176,0.001527395673989948,-0.04189227506990759,,-0.04112857723291262,-0.04189227506990759,-0.61003
2,5,1,63,5013.135,696.763,0.0,7.194892667951656,,,,8.36811956213114,60.20772208212016,0,,,7.194892667951656,,7.194892667951656,7.194892667951656,-0.1357
2,5,66,69,-27.882,696.763,0.0,-0.040016476190612875,,,,-91304.4563571321,3653.682603912029,137,0.043550965776884075,0.0017815503032318006,-0.04090725134222878,,-0.040016476190612875,-0.04090725134222878,-0.35574
3,6,5,8,-980.438,551.57,0.0,-1.7775404753703063,,,,-31.41592653589794,55.84308098881864,152,0.012734093352494584,0.02278041028680322,-1.788930680513708,,-1.7775404753703063,-1.788930680513708,-1.03804
3,6,8,11,-923.8,551.57,0.0,-1.6748554127309314,,,,-27.925268031909276,46.77078631520529,-17114,-0.025615303412713387,-0.04345853130211541,-1.6965846783819891,,-1.6748554127309314,-1.6965846783819891,
3,6,38,41,-3.715,800.771,0.0,-0.004639278894964977,,,,-14856.242592975721,68.92225272007204,183,-0.04886782391594696,-0.00022130413830484183,-0.004528626825812556,,-0.004639278894964977,-0.004528626825812556,0.36208
3,6,42,45,-7.332,801.433,0.0,-0.0091486125477738,,,,-20583.715066320397,188.31243393553942,192,-0.011628710130055685,-0.00010577156994679565,-0.009095726762800403,,-0.0091486125477738,-0.009095726762800403,0.22539
3,6,60,63,-14.123,801.433,0.0,-0.017622184262439902,,,,-64465.4812516621,1136.0225891836544,198,-0.009631381971489909,-0.0001689125571248118,-0.017537727983877496,,-0.017622184262439902,-0.017537727983877496,0.15901
3,6,63,66,-29.964,801.433,0.0,-0.03738802869360258,,,,-75209.7281269409,2811.9434732481154,-4419,-0.02060666240176874,-0.000778463249847608,-0.037777260318526386,,-0.03738802869360258,-0.037777260318526386,
3,6,66,69,-32.833,801.433,0.0,-0.040967866309473154,,,,-87084.94835750671,3567.684521877709,200,0.04854977574385638,0.0020384642122115854,-0.04198709841557895,,-0.040967866309473154,-0.04198709841557895,-0.37357
3,6,61,64,-19.935,801.423,0.0,-0.0248745044751648,,,,-67924.72382911498,1689.5938468616537,201,0.006987436356733317,0.00017441838560993891,-0.024961713667969766,,-0.0248745044751648,-0.024961713667969766,-0.05265
3,6,64,67,-31.33,801.423,0.0,-0.0390929633913676,,,,-79039.67863751794,3089.8952634419484,-4489,-0.024718275195925638,-0.0009784028426911284,-0.039582164812713164,,-0.0390929633913676,-0.039582164812713164,
3,6,67,70,-31.747,801.423,0.0,-0.03961328786421153,,,,-91304.4563571321,3616.869712960413,203,0.0332609832174815,0.0013398594237442746,-0.04028321757608367,,-0.03961328786421153,-0.04028321757608367,-0.48683
3,6,1,62,2490.151,801.423,0.0,3.107161885795641,,,,20.880752620118038,64.87987868795824,0,,,3.107161885795641,,3.107161885795641,3.107161885795641,0.22727
3,6,62,65,-25.767,801.423,0.0,-0.0321515604119173,,,,-71505.44132250796,2299.0115164614226,206,0.02629404095667372,0.0008566569325267614,-0.03257988887818068,,-0.0321515604119173,-0.03257988887818068,-0.02505
4,7,5,8,3795.224,352.23,0.0,10.774845981319025,,,,5.026548245743669,54.16028316555737,-17339,0.0019802834330211916,0.02131614298775375,10.764187909825148,,10.774845981319025,10.764187909825148,
4,7,8,11,-2091.386,352.23,0.0,-5.937557845725804,,,,-9.773843811168247,58.03276300390062,-493,0.010052003627122625,0.05938587946360219,-5.907864905994003,,-5.937557845725804,-5.907864905994003,
4,7,35,38,-3.927,808.393,0.0,-0.004857785755195802,,,,-10301.631376971342,50.04311815832949,242,0.00858258596252177,4.187204906173133e-05,-0.004878721779726668,,-0.004857785755195802,-0.004878721779726668,0.25265
4,7,38,41,-4.321,808.393,0.0,-0.005345172459434952,,,,-13612.87003385493,72.76313799882871,243,0.03780343343870003,0.0002059588470718172,-0.005448151882970861,,-0.005345172459434952,-0.005448151882970861,0.25286
4,7,47,50,36.297,808.393,0.0,0.04490019087250879,,,,-27618.090083558098,-1240.0575162859006,246,0.0281821899996729,0.0012834712251538205,0.0455419264850857,,0.04490019087250879,0.0455419264850857,1.69192
4,7,53,56,12.073,808.393,0.0,0.014934567716444847,,,,-40913.31019354928,-611.022601589475,-18118,0.029302095837028124,0.00043129520775599464,0.01471892011256685,,0.014934567716444847,0.01471892011256685,
4,7,59,62,-14.376,808.393,0.0,-0.017783429594269123,,,,-57903.043264162494,1029.7146931821528,250,0.012253187436248961,0.0002192469329601078,-0.017893053060749176,,-0.017783429594269123,-0.017893053060749176,0.19028
4,7,36,39,-4.381,808.047,0.0,-0.005421714330973322,,,,-11337.658820955263,61.46954730925925,252,-0.005708670216625727,-3.086268667416934e-05,-0.005406282987636237,,-0.005421714330973322,-0.005406282987636237,0.25686
4,7,39,42,-5.713,808.047,0.0,-0.0070701332967018,,,,-14856.242592975721,105.03561542047714,253,-0.04677627350916841,-0.00032315646132226924,-0.006908555066040666,,-0.0070701332967018,-0.006908555066040666,0.07449
4,7,42,45,-8.25,808.047,0.0,-0.010209802152597558,,,,-19034.56082224999,194.3391000567571,254,-0.017283708830731062,-0.00017495134358384325,-0.010122326480805636,,-0.010209802152597558,-0.010122326480805636,-0.03012
4,7,48,51,39.439,808.047,0.0,0.04880780449652062,,,,-29596.59532361917,-1444.544838317841,256,0.021450633468185886,0.001058309024128061,0.04933695900858465,,0.04880780449652062,0.04933695900858465,1.66058
4,7,60,63,-20.327,808.047,0.0,-0.025155714952224316,,,,-61125.61919504549,1537.6586527487755,260,0.014323618035899476,0.00036292001624073367,-0.025337174960344683,,-0.025155714952224316,-0.025337174960344683,-0.40534
4,7,55,58,9.159,807.869,0.0,0.011337234130781105,,,,-46143.712895927434,-523.1420767646727,266,0.003715995772132478,4.220753560959731e-05,0.011358337898585903,,0.011337234130781105,0.011358337898585903,
4,7,61,64,-28.237,807.869,0.0,-0.034952448973781636,,,,-64465.4812516621,2253.2264440189965,268,-0.0019531930570913887,-6.820227455935773e-05,-0.03491834783650195,,-0.034952448973781636,-0.03491834783650195,-0.84327
4,7,64,67,-39.639,807.869,0.0,-0.04906612334425507,,,,-75209.7281269409,3690.2497969643723,-18697,0.007675914834909754,0.0003751874306871378,-0.0488785296289115,,-0.04906612334425507,-0.0488785296289115,
4,7,67,70,-31.991,807.869,0.0,-0.03959924195630727,,,,-87084.94835750671,3448.497940761432,-4680,0.01770021371387496,0.0006947662896302567,-0.03925185881149214,,-0.03959924195630727,-0.03925185881149214,
4,7,62,65,-35.638,807.666,0.0,-0.04412467529894783,,,,-67924.72382911498,2997.156383730403,-4330,-0.00033877243178621853,-1.4950756004786236e-05,-0.04413215067695022,,-0.04412467529894783,-0.04413215067695022,
4,7,2,63,6726.138,808.196,0.0,8.322409415537814,,,,20.880752620118038,173.77817220918624,0,,,8.322409415537814,,8.322409415537814,8.322409415537814,-2.1522
4,7,63,66,-39.454,808.196,0.0,-0.04881736608446466,,,,-71505.44132250796,3490.7073060720777,276,-0.0006881980918978131,-3.3584461809538224e-05,-0.04880057385355989,,-0.04881736608446466,-0.04880057385355989,-1.02488
4,7,66,69,-35.543,808.196,0.0,-0.04397819340852961,,,,-82997.38724933649,3650.0751488539495,-4610,0.0015363709709037298,6.751495569663757e-05,-0.04394443593068129,,-0.04397819340852961,-0.04394443593068129,
4,7,72,3,-60.523,6.072,0.0,-9.967555994729908,,,,-8.370005743741341,83.42850092695276,279,-0.01620603658501589,-0.16023618041278098,-9.887437904523518,,-9.967555994729908,-9.887437904523518,-1.24508
5,8,1,4,-200.478,39.882,0.0,-5.026778998044231,,,,-9.773843811168247,49.130952800145124,281,0.0378522708426007,0.19394564157671912,-5.12375181883259,,-5.026778998044231,-5.12375181883259,0.47116
5,8,4,7,432.276,39.882,0.0,10.838874680306906,,,,5.026548245743669,54.482126510132154,-17407,0.004990059158012777,0.05395201399026561,10.811898673311774,,10.838874680306906,10.811898673311774,
