x,y,z,label,buried,remote
0.0,9.893900000490248,-25.0,1,True,False
0.0,9.893900000490248,-24.0,2,True,False
0.0,9.893900000490248,-23.0,3,True,False
0.0,9.893900000490248,-22.0,4,True,False
0.0,9.893900000490248,-21.0,5,True,False
0.0,9.893900000490248,-20.0,6,True,False
0.0,9.893900000490248,-19.0,7,True,False
0.0,9.893900000490248,-18.0,8,True,False
0.0,9.893900000490248,-17.0,9,True,False
0.0,9.893900000490248,-16.0,10,True,False
0.0,9.893900000490248,-15.0,11,True,False
0.0,9.893900000490248,-14.0,12,True,False
0.0,9.893900000490248,-13.0,13,True,False
0.0,9.893900000490248,-12.0,14,True,False
0.0,9.893900000490248,-11.0,15,True,False
0.0,9.893900000490248,-10.0,16,True,False
0.0,9.893900000490248,-9.0,17,True,False
0.0,9.893900000490248,-8.0,18,True,False
0.0,9.893900000490248,-7.0,19,True,False
0.0,9.893900000490248,-6.0,20,True,False
0.0,9.893900000490248,-5.0,21,True,False
0.0,9.893900000490248,-4.0,22,True,False
0.0,9.893900000490248,-3.0,23,True,False
0.0,9.893900000490248,-2.0,24,False,False
9.473200000007637,27.0890000006184,-2.0,25,False,False
9.473200000007637,27.0890000006184,-3.0,26,True,False
9.473200000007637,27.0890000006184,-4.0,27,True,False
9.473200000007637,27.0890000006184,-5.0,28,True,False
9.473200000007637,27.0890000006184,-6.0,29,True,False
9.473200000007637,27.0890000006184,-7.0,30,True,False
9.473200000007637,27.0890000006184,-8.0,31,True,False
9.473200000007637,27.0890000006184,-9.0,32,True,False
9.473200000007637,27.0890000006184,-10.0,33,True,False
9.473200000007637,27.0890000006184,-11.0,34,True,False
9.473200000007637,27.0890000006184,-12.0,35,True,False
9.473200000007637,27.0890000006184,-13.0,36,True,False
9.473200000007637,27.0890000006184,-14.0,37,True,False
9.473200000007637,27.0890000006184,-15.0,38,True,False
9.473200000007637,27.0890000006184,-16.0,39,True,False
9.473200000007637,27.0890000006184,-17.0,40,True,False
9.473200000007637,27.0890000006184,-18.0,41,True,False
9.473200000007637,27.0890000006184,-19.0,42,True,False
9.473200000007637,27.0890000006184,-20.0,43,True,False
9.473200000007637,27.0890000006184,-21.0,44,True,False
9.473200000007637,27.0890000006184,-22.0,45,True,False
9.473200000007637,27.0890000006184,-23.0,46,True,False
9.473200000007637,27.0890000006184,-24.0,47,True,False
9.473200000007637,27.0890000006184,-25.0,48,True,False
10.981099999975411,14.8562000002712,-2.0,49,False,False
10.981099999975411,14.8562000002712,-3.0,50,True,False
10.981099999975411,14.8562000002712,-4.0,51,True,False
10.981099999975411,14.8562000002712,-5.0,52,True,False
10.981099999975411,14.8562000002712,-6.0,53,True,False
10.981099999975411,14.8562000002712,-7.0,54,True,False
