7990
1	1 1	1 4	1 5	1 8
2	1 1	1 4	1 6	1 9
3	1 1	1 4	1 7	1 10
4	1 1	1 4	1 22	1 25
5	1 1	1 4	1 2	1 63
6	1 2	1 5	1 1	1 4
7	1 2	1 5	1 4	1 7
8	1 2	1 5	1 6	1 9
9	1 2	1 5	1 15	1 18
10	1 2	1 5	1 17	1 20
11	1 2	1 5	1 42	1 45
12	1 2	1 5	1 45	1 48
13	1 2	1 5	1 41	1 44
14	1 2	1 5	1 44	1 47
15	1 2	1 5	1 65	1 68
16	1 2	1 5	1 64	1 67
17	1 2	1 5	1 67	1 70
18	1 2	1 5	1 70	1 1
19	1 2	1 5	1 1	1 63
20	1 2	1 5	1 63	1 66
21	1 2	1 5	1 66	1 69
22	1 2	1 5	1 69	1 72
23	1 3	1 6	1 1	1 4
24	1 3	1 6	1 7	1 10
25	1 3	1 6	1 8	1 11
26	1 3	1 6	1 37	1 40
27	1 3	1 6	1 43	1 46
28	1 3	1 6	1 38	1 41
29	1 3	1 6	1 41	1 44
30	1 3	1 6	1 44	1 47
31	1 3	1 6	1 39	1 42
32	1 3	1 6	1 42	1 45
33	1 3	1 6	1 45	1 48
34	1 3	1 6	1 63	1 66
35	1 3	1 6	1 66	1 69
36	1 3	1 6	1 61	1 64
37	1 3	1 6	1 64	1 67
38	1 3	1 6	1 67	1 70
39	1 3	1 6	1 70	1 1
40	1 3	1 6	1 1	1 62
41	1 3	1 6	1 62	1 65
42	1 3	1 6	1 65	1 68
43	1 3	1 6	1 71	1 2
44	1 3	1 6	1 69	1 72
45	1 4	1 7	1 5	1 8
46	1 4	1 7	1 8	1 11
47	1 4	1 7	1 14	1 17
48	1 4	1 7	1 23	1 26
49	1 4	1 7	1 6	1 9
50	1 4	1 7	1 9	1 12
51	1 4	1 7	1 19	1 22
52	1 4	1 7	1 34	1 37
53	1 4	1 7	1 35	1 38
54	1 4	1 7	1 38	1 41
55	1 4	1 7	1 41	1 44
56	1 4	1 7	1 44	1 47
57	1 4	1 7	1 47	1 50
58	1 4	1 7	1 53	1 56
59	1 4	1 7	1 36	1 39
60	1 4	1 7	1 39	1 42
61	1 4	1 7	1 42	1 45
62	1 4	1 7	1 48	1 51
63	1 4	1 7	1 51	1 54
64	1 4	1 7	1 46	1 49
65	1 4	1 7	1 55	1 58
66	1 4	1 7	1 58	1 61
67	1 4	1 7	1 61	1 64
68	1 4	1 7	1 64	1 67
69	1 4	1 7	1 67	1 70
70	1 4	1 7	1 62	1 65
71	1 4	1 7	1 65	1 68
72	1 4	1 7	1 2	1 63
73	1 4	1 7	1 63	1 66
74	1 4	1 7	1 66	1 69
75	1 4	1 7	1 72	1 3
