a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0
1,4,2,5,1141.756,121.75,0.0,9.3778726899384,,,,5.026548245743669,47.13832951841732,-17607,0.3289302259444176,2.648998023569848,8.053373678153475,,10.573079701810713,9.58456422529946
1,4,5,8,-655.298,121.75,0.0,-5.382324435318275,,,,-9.773843811168247,52.605998371835156,-281,0.07715110226693593,0.3998286523208403,-5.182410109157855,,-5.975124974486738,-5.64318274644487
1,4,8,11,-77.935,121.75,0.0,-0.6401232032854209,,,,-97.73843811168241,62.564642088164014,-492,0.2667571369268543,0.1506623097879548,-0.5647920483914435,,-0.7591321279194461,-0.671519597593101
1,4,11,14,-204.27,121.75,0.0,-1.677782340862423,,,,-317.6499238629682,532.9474328335813,-705,0.02637308291055449,0.043672404805015885,-1.6559461384599152,,-9.325622118621279,-5.5455906671814095
1,4,14,17,119.481,121.75,0.0,0.9813634496919917,,,,-726.0569688296413,-712.5257716035677,5,1.5894761319185795,7.599332956267137,4.781029927825561,,8.6529807589507,8.888192026920105
1,4,17,20,-35.209,121.75,0.0,-0.2891909650924025,,,,-1379.5082407763177,398.9413195030257,6,-0.11632832105171914,-0.03179194749499681,-0.2732949913449041,,-2.636992448074437,-1.4013029589454895
1,4,20,23,314.109,121.75,0.0,2.5799507186858315,,,,-2334.552407467609,-6023.030161455797,7,0.5867120884269919,2.1420805510380796,3.6509909942048715,,3.4071770830970993,3.855805117683121
1,4,23,26,-207.667,121.75,0.0,-1.7056837782340863,,,,-3647.7381366681584,6221.88776696071,8,-0.3948275498265126,-0.5624212457283444,-1.4244731553699141,,-0.10567188163142326,-0.1922203581972897
1,4,26,29,0.907,841.149,0.0,0.001078286962238557,,,,-5375.614096142546,-5.796454593896312,9,-0.5007056652518033,-0.00043180162964571696,0.0008623861474156985,,0.0014527042076451341,0.0011479855429980393
1,4,29,32,5.813,841.149,0.0,0.006910785128437411,,,,-7574.728953655354,-52.34732420486569,10,-0.550471400057388,-0.002983126621267833,0.005419221817803494,,0.010209763558160138,0.007524526853535284
1,4,3,6,-5023.976,847.562,0.0,-5.927561641508231,,,,-31.41592653589794,186.2198410666292,11,-0.5903106160821032,-2.7016856918540757,-4.576718795581193,,-3.9398441125075276,-3.6779560495952746
1,4,6,9,-1555.818,847.562,0.0,-1.8356391626807242,,,,-27.925268031909276,51.26071562772874,12,-0.05332145632853963,-0.09533719442337163,-1.7879705654690383,,-2.0129009487516165,-2.003189776652368
1,4,9,12,-504.773,847.562,0.0,-0.595558790979303,,,,-153.58897417550094,91.47126376771273,-563,0.3589718221507896,0.1812559373437873,-0.5049308223074094,,-0.5765109930793457,-0.4650942556114042
