Spa.1,Spa.2,Spa.3,Spa.4,Vp,In,dev
3,6,8,11,-53.23,29.202,0.0
3,6,11,14,-32.804,868.799,0.0
3,6,14,17,-59.103,868.799,0.0
3,6,17,20,-129.78,868.799,0.0
3,6,20,23,-4.747,868.799,0.0
3,6,23,26,-124.408,868.799,0.0
3,6,26,29,-0.265,868.799,0.0
3,6,29,32,-1.797,868.799,0.0
3,6,9,12,561.217,659.494,0.0
3,6,12,15,-517.687,659.494,0.0
3,6,15,18,593.638,659.494,0.0
3,6,18,21,-558.416,659.494,0.0
3,6,21,24,-114.377,659.494,0.0
3,6,24,27,-43.844,659.494,0.0
3,6,27,30,-0.337,868.052,0.0
3,6,30,33,-2.675,868.052,0.0
3,6,33,36,-3.248,868.052,0.0
3,6,36,39,-4.486,868.052,0.0
3,6,31,34,-3.326,868.861,0.0
3,6,34,37,-3.472,868.861,0.0
3,6,37,40,-4.353,868.861,0.0
3,6,40,43,-7.147,868.861,0.0
3,6,43,46,-7.724,868.861,0.0
3,6,46,49,47.113,868.861,0.0
3,6,49,52,4.637,868.861,0.0
3,6,52,55,6.807,868.861,0.0
3,6,55,58,-1.766,868.861,0.0
3,6,58,61,-6.879,868.861,0.0
3,6,32,35,-3.335,867.238,0.0
3,6,35,38,-4.27,867.238,0.0
3,6,38,41,-4.168,867.238,0.0
3,6,41,44,-8.011,867.238,0.0
3,6,44,47,-7.266,867.238,0.0
3,6,47,50,49.473,867.238,0.0
3,6,50,53,6.559,867.238,0.0
3,6,53,56,3.485,867.238,0.0
3,6,56,59,-1.692,867.238,0.0
3,6,59,62,-9.435,867.238,0.0
3,6,39,42,-5.46,866.882,0.0
3,6,42,45,-8.101,866.882,0.0
3,6,45,48,-6.953,866.882,0.0
3,6,48,51,53.0,866.882,0.0
3,6,51,54,7.164,866.882,0.0
3,6,54,57,1.383,866.882,0.0
3,6,57,60,-3.762,866.882,0.0
3,6,60,63,-13.656,866.882,0.0
3,6,63,66,-38.52,866.882,0.0
3,6,66,69,-36.979,866.882,0.0
3,6,61,64,-20.488,867.707,0.0
3,6,64,67,-40.836,867.707,0.0
3,6,67,70,-35.384,867.707,0.0
3,6,70,1,-2590.637,867.707,0.0
3,6,1,62,2698.934,870.826,0.0
3,6,62,65,-30.773,870.826,0.0
3,6,65,68,-40.672,870.826,0.0
3,6,68,71,-32.5,870.826,0.0
3,6,71,2,-64.342,6.477,0.0
3,6,69,72,-30.459,870.518,0.0
4,7,2,5,-119.807,95.916,0.0
4,7,5,8,1083.797,95.916,0.0
4,7,8,11,-587.969,95.916,0.0
4,7,11,14,-49.753,95.916,0.0
4,7,14,17,3.373,868.946,0.0
4,7,17,20,-110.263,868.946,0.0
4,7,20,23,-739.178,868.946,0.0
4,7,23,26,734.818,868.946,0.0
4,7,26,29,-0.01,868.946,0.0
4,7,29,32,-0.506,868.946,0.0
4,7,3,6,7637.352,463.346,0.0
4,7,6,9,-1497.206,463.346,0.0
4,7,9,12,-497.447,463.346,0.0
4,7,12,15,-147.997,463.346,0.0
4,7,15,18,-49.311,463.346,0.0
4,7,18,21,-54.949,463.346,0.0
4,7,21,24,-18.996,870.392,0.0
4,7,24,27,19.21,870.392,0.0
4,7,27,30,-0.006,870.392,0.0
4,7,30,33,-1.042,870.392,0.0
