Spa.1,Spa.2,Spa.3,Spa.4,Vp,In,dev
1,4,2,5,5533.716,535.516,0.0
1,4,5,8,-2745.253,535.516,0.0
1,4,8,11,-377.382,535.516,0.0
1,4,11,14,-3467.288,535.516,0.0
1,4,14,17,2164.444,535.516,0.0
1,4,17,20,298.933,535.516,0.0
1,4,20,23,1013.441,535.516,0.0
1,4,23,26,-48.572,535.516,0.0
1,4,26,29,1.05,812.04,0.0
1,4,29,32,6.161,812.04,0.0
1,4,3,6,-4848.241,809.934,0.0
1,4,6,9,-1402.817,809.934,0.0
1,4,9,12,-578.008,809.934,0.0
1,4,12,15,-477.496,809.934,0.0
1,4,15,18,253.235,809.934,0.0
1,4,18,21,139.172,809.934,0.0
1,4,21,24,93.832,809.934,0.0
1,4,24,27,47.581,809.934,0.0
1,4,27,30,1.555,809.934,0.0
1,4,30,33,8.824,809.934,0.0
1,4,7,10,-64.377,64.087,0.0
1,4,10,13,-178.094,64.087,0.0
1,4,13,16,-338.052,64.087,0.0
1,4,16,19,475.518,64.087,0.0
1,4,19,22,63.416,64.087,0.0
1,4,22,25,-42.845,64.087,0.0
1,4,25,28,1.045,810.135,0.0
1,4,28,31,4.671,810.135,0.0
1,4,31,34,9.453,810.135,0.0
1,4,34,37,3.883,810.135,0.0
1,4,32,35,8.454,810.138,0.0
1,4,35,38,3.297,810.138,0.0
1,4,38,41,0.242,810.138,0.0
1,4,41,44,-2.322,810.138,0.0
1,4,44,47,-4.165,810.138,0.0
1,4,47,50,-23.706,810.138,0.0
1,4,50,53,9.069,810.138,0.0
1,4,53,56,23.786,810.138,0.0
1,4,56,59,15.424,810.138,0.0
1,4,59,62,15.492,810.138,0.0
1,4,33,36,6.483,807.875,0.0
1,4,36,39,2.875,807.875,0.0
1,4,39,42,-0.697,807.875,0.0
1,4,42,45,-2.792,807.875,0.0
1,4,45,48,-4.728,807.875,0.0
1,4,48,51,-22.892,807.875,0.0
1,4,51,54,14.799,807.875,0.0
1,4,54,57,19.49,807.875,0.0
1,4,57,60,21.866,807.875,0.0
1,4,60,63,9.776,807.875,0.0
1,4,37,40,2.057,809.845,0.0
1,4,40,43,-1.175,809.845,0.0
