Spa.1,Spa.2,Spa.3,Spa.4,Vp,In,dev
1,4,2,5,766.131,75.153,0.0
1,4,5,8,-401.722,75.153,0.0
1,4,8,11,-49.542,75.153,0.0
1,4,11,14,-185.55,75.153,0.0
1,4,14,17,133.058,75.153,0.0
1,4,17,20,-61.539,75.153,0.0
1,4,20,23,190.615,75.153,0.0
1,4,23,26,-82.979,75.153,0.0
1,4,26,29,1.141,836.313,0.0
1,4,29,32,6.691,836.313,0.0
1,4,3,6,-5179.913,836.299,0.0
1,4,6,9,-1478.186,836.299,0.0
1,4,9,12,-601.499,836.299,0.0
1,4,12,15,-501.614,836.299,0.0
1,4,15,18,341.317,836.299,0.0
1,4,18,21,63.118,836.299,0.0
1,4,21,24,143.374,836.299,0.0
1,4,24,27,37.833,836.299,0.0
1,4,27,30,1.742,836.299,0.0
1,4,30,33,10.166,836.299,0.0
1,4,7,10,-395.327,381.905,0.0
1,4,10,13,-1578.452,381.905,0.0
1,4,13,16,-2299.321,381.905,0.0
1,4,16,19,2850.66,381.905,0.0
1,4,19,22,341.012,381.905,0.0
1,4,22,25,-186.839,381.905,0.0
1,4,25,28,1.117,834.839,0.0
1,4,28,31,5.225,834.839,0.0
1,4,31,34,10.368,834.839,0.0
1,4,34,37,4.338,834.839,0.0
1,4,32,35,9.176,835.245,0.0
1,4,35,38,3.675,835.245,0.0
1,4,38,41,0.506,835.245,0.0
1,4,41,44,-1.978,835.245,0.0
1,4,44,47,-4.038,835.245,0.0
1,4,47,50,-26.059,835.245,0.0
1,4,50,53,7.323,835.245,0.0
1,4,53,56,23.127,835.245,0.0
1,4,56,59,20.635,835.245,0.0
1,4,59,62,14.77,835.245,0.0
1,4,33,36,6.963,832.621,0.0
1,4,36,39,3.095,832.621,0.0
1,4,39,42,-0.604,832.621,0.0
1,4,42,45,-2.694,832.621,0.0
1,4,45,48,-4.747,832.621,0.0
1,4,48,51,-24.632,832.621,0.0
1,4,51,54,17.185,832.621,0.0
1,4,54,57,19.503,832.621,0.0
1,4,57,60,21.481,832.621,0.0
1,4,60,63,10.148,832.621,0.0
1,4,37,40,2.114,834.139,0.0
1,4,40,43,-1.071,834.139,0.0
1,4,43,46,-3.609,834.139,0.0
1,4,46,49,-31.578,834.139,0.0
1,4,49,52,1.749,834.139,0.0
1,4,52,55,29.206,834.139,0.0
1,4,55,58,16.838,834.139,0.0
1,4,58,61,19.284,834.139,0.0
1,4,61,64,5.615,834.139,0.0
1,4,64,67,-7.776,834.139,0.0
1,4,62,65,2.011,836.011,0.0
1,4,65,68,-15.81,836.011,0.0
1,4,68,71,-29.489,836.011,0.0
1,4,71,2,-936.777,836.011,0.0
1,4,2,63,982.029,836.011,0.0
1,4,63,66,-2.892,836.011,0.0
1,4,66,69,-21.877,836.011,0.0
1,4,69,72,-32.558,836.011,0.0
1,4,72,3,62.377,12.157,0.0
1,4,67,70,-26.116,838.511,0.0
2,5,1,4,5014.683,646.89,0.0
2,5,4,7,967.617,646.89,0.0
2,5,7,10,-1147.567,646.89,0.0
2,5,10,13,-94.931,646.89,0.0
2,5,13,16,2889.082,646.89,0.0
2,5,16,19,-3517.589,646.89,0.0
2,5,19,22,834.1,646.89,0.0
2,5,22,25,-71.854,646.89,0.0
2,5,25,28,-0.22,757.165,0.0
2,5,28,31,-0.869,757.165,0.0
2,5,3,6,9012.296,585.754,0.0
2,5,6,9,-3152.615,585.754,0.0
2,5,9,12,-2712.083,585.754,0.0
2,5,12,15,2828.095,585.754,0.0
2,5,15,18,-226.249,585.754,0.0
2,5,18,21,-62.323,585.754,0.0
2,5,21,24,57.815,585.754,0.0
2,5,24,27,-108.951,585.754,0.0
2,5,27,30,-0.439,758.79,0.0
2,5,30,33,-3.143,758.79,0.0
2,5,8,11,-76.56,88.055,0.0
2,5,11,14,363.69,88.055,0.0
2,5,14,17,-355.892,88.055,0.0
2,5,17,20,-32.722,88.055,0.0
2,5,20,23,707.71,88.055,0.0
2,5,23,26,-707.944,88.055,0.0
2,5,26,29,-0.368,761.932,0.0
2,5,29,32,-2.283,761.932,0.0
2,5,32,35,-3.814,761.932,0.0
2,5,35,38,-3.988,761.932,0.0
2,5,31,34,-4.286,760.819,0.0
2,5,34,37,-3.51,760.819,0.0
2,5,37,40,-3.981,760.819,0.0
2,5,40,43,-6.143,760.819,0.0
2,5,43,46,-6.897,760.819,0.0
2,5,46,49,47.861,760.819,0.0
2,5,49,52,0.488,760.819,0.0
2,5,52,55,0.325,760.819,0.0
2,5,55,58,-0.665,760.819,0.0
2,5,58,61,-5.84,760.819,0.0
2,5,33,36,-3.2,760.941,0.0
2,5,36,39,-3.883,760.941,0.0
2,5,39,42,-4.566,760.941,0.0
2,5,42,45,-6.957,760.941,0.0
2,5,45,48,-6.528,760.941,0.0
2,5,48,51,48.066,760.941,0.0
2,5,51,54,3.246,760.941,0.0
2,5,54,57,0.068,760.941,0.0
2,5,57,60,-2.471,760.941,0.0
2,5,60,63,-9.167,760.941,0.0
2,5,38,41,-3.501,762.354,0.0
2,5,41,44,-6.728,762.354,0.0
2,5,44,47,-6.454,762.354,0.0
2,5,47,50,44.305,762.354,0.0
2,5,50,53,1.699,762.354,0.0
2,5,53,56,1.867,762.354,0.0
2,5,56,59,0.156,762.354,0.0
2,5,59,62,-6.321,762.354,0.0
2,5,62,65,-20.89,762.354,0.0
2,5,65,68,-32.366,762.354,0.0
2,5,61,64,-13.878,762.47,0.0
2,5,64,67,-30.303,762.47,0.0
2,5,67,70,-32.567,762.47,0.0
2,5,70,1,-5300.894,761.519,0.0
2,5,1,63,5370.987,761.519,0.0
2,5,63,66,-27.327,761.519,0.0
2,5,66,69,-32.055,761.519,0.0
