Spa.1,Spa.2,Spa.3,Spa.4,Vp,In,dev
1,4,2,5,1141.756,121.75,0.0
1,4,5,8,-655.298,121.75,0.0
1,4,8,11,-77.935,121.75,0.0
1,4,11,14,-204.27,121.75,0.0
1,4,14,17,119.481,121.75,0.0
1,4,17,20,-35.209,121.75,0.0
1,4,20,23,314.109,121.75,0.0
1,4,23,26,-207.667,121.75,0.0
1,4,26,29,0.907,841.149,0.0
1,4,29,32,5.813,841.149,0.0
1,4,3,6,-5023.976,847.562,0.0
1,4,6,9,-1555.818,847.562,0.0
1,4,9,12,-504.773,847.562,0.0
1,4,12,15,-552.494,847.562,0.0
1,4,15,18,404.355,847.562,0.0
1,4,18,21,97.507,847.562,0.0
1,4,21,24,132.442,847.562,0.0
1,4,24,27,24.373,847.562,0.0
1,4,27,30,1.617,847.562,0.0
1,4,30,33,9.474,847.562,0.0
1,4,7,10,-208.66,206.074,0.0
1,4,10,13,-655.213,206.074,0.0
1,4,13,16,-662.502,206.074,0.0
1,4,16,19,1226.758,206.074,0.0
1,4,19,22,139.319,206.074,0.0
1,4,22,25,-106.362,206.074,0.0
1,4,25,28,1.021,843.622,0.0
1,4,28,31,4.872,843.622,0.0
1,4,31,34,9.815,843.622,0.0
1,4,34,37,4.106,843.622,0.0
1,4,32,35,9.042,843.723,0.0
1,4,35,38,3.586,843.723,0.0
1,4,38,41,0.502,843.723,0.0
1,4,41,44,-1.946,843.723,0.0
1,4,44,47,-4.108,843.723,0.0
1,4,47,50,-27.095,843.723,0.0
1,4,50,53,9.204,843.723,0.0
1,4,53,56,26.841,843.723,0.0
1,4,56,59,16.286,843.723,0.0
1,4,59,62,14.598,843.723,0.0
1,4,33,36,6.766,841.551,0.0
1,4,36,39,2.961,841.551,0.0
1,4,39,42,-0.591,841.551,0.0
1,4,42,45,-2.643,841.551,0.0
1,4,45,48,-4.735,841.551,0.0
1,4,48,51,-24.759,841.551,0.0
1,4,51,54,15.754,841.551,0.0
1,4,54,57,24.835,841.551,0.0
1,4,57,60,17.678,841.551,0.0
1,4,60,63,9.69,841.551,0.0
1,4,37,40,1.847,839.676,0.0
1,4,40,43,-1.237,839.676,0.0
1,4,43,46,-3.701,839.676,0.0
1,4,46,49,-28.699,839.676,0.0
1,4,49,52,3.94,839.676,0.0
1,4,52,55,21.524,839.676,0.0
1,4,55,58,21.195,839.676,0.0
1,4,58,61,17.433,839.676,0.0
1,4,61,64,5.332,839.676,0.0
1,4,64,67,-8.145,839.676,0.0
1,4,62,65,2.117,840.333,0.0
1,4,65,68,-15.541,840.333,0.0
1,4,68,71,-29.523,840.333,0.0
1,4,71,2,103.751,840.333,0.0
1,4,2,63,-58.947,840.333,0.0
1,4,63,66,-2.724,840.333,0.0
1,4,66,69,-21.688,840.333,0.0
1,4,69,72,-32.506,840.333,0.0
1,4,72,3,62.03,12.179,0.0
1,4,67,70,-26.237,845.82,0.0
2,5,1,4,5752.807,761.58,0.0
2,5,4,7,1574.911,761.58,0.0
2,5,7,10,-1345.94,761.58,0.0
2,5,10,13,-170.948,761.58,0.0
2,5,13,16,2805.629,761.58,0.0
2,5,16,19,-3665.628,761.58,0.0
2,5,19,22,233.797,761.58,0.0
2,5,22,25,-135.689,761.58,0.0
2,5,25,28,-0.296,763.246,0.0
2,5,28,31,-1.213,763.246,0.0
2,5,3,6,9142.856,602.604,0.0
2,5,6,9,-3199.575,602.604,0.0
2,5,9,12,-3397.844,602.604,0.0
2,5,12,15,2854.403,602.604,0.0
2,5,15,18,-168.632,602.604,0.0
2,5,18,21,-63.489,602.604,0.0
2,5,21,24,54.213,602.604,0.0
2,5,24,27,-121.829,602.604,0.0
2,5,27,30,-0.445,764.308,0.0
2,5,30,33,-3.468,764.308,0.0
2,5,8,11,-108.835,97.402,0.0
2,5,11,14,360.737,97.402,0.0
2,5,14,17,-344.843,97.402,0.0
2,5,17,20,-37.391,97.402,0.0
2,5,20,23,794.888,97.402,0.0
2,5,23,26,-799.359,97.402,0.0
2,5,26,29,-0.296,765.497,0.0
2,5,29,32,-2.283,765.497,0.0
2,5,32,35,-3.955,765.497,0.0
2,5,35,38,-3.972,765.497,0.0
2,5,31,34,-3.965,765.065,0.0
2,5,34,37,-3.373,765.065,0.0
2,5,37,40,-3.841,765.065,0.0
2,5,40,43,-6.059,765.065,0.0
2,5,43,46,-6.878,765.065,0.0
2,5,46,49,45.952,765.065,0.0
2,5,49,52,1.021,765.065,0.0
2,5,52,55,0.665,765.065,0.0
2,5,55,58,-0.283,765.065,0.0
2,5,58,61,-5.296,765.065,0.0
2,5,33,36,-3.615,765.08,0.0
2,5,36,39,-4.155,765.08,0.0
2,5,39,42,-4.721,765.08,0.0
2,5,42,45,-7.133,765.08,0.0
2,5,45,48,-6.566,765.08,0.0
2,5,48,51,51.286,765.08,0.0
2,5,51,54,1.018,765.08,0.0
2,5,54,57,0.175,765.08,0.0
2,5,57,60,-3.38,765.08,0.0
2,5,60,63,-9.499,765.08,0.0
2,5,38,41,-3.701,766.839,0.0
2,5,41,44,-6.918,766.839,0.0
2,5,44,47,-6.683,766.839,0.0
2,5,47,50,48.493,766.839,0.0
2,5,50,53,0.936,766.839,0.0
2,5,53,56,-0.954,766.839,0.0
2,5,56,59,0.146,766.839,0.0
2,5,59,62,-7.008,766.839,0.0
2,5,62,65,-21.271,766.839,0.0
2,5,65,68,-32.665,766.839,0.0
2,5,61,64,-14.428,766.512,0.0
2,5,64,67,-30.802,766.512,0.0
2,5,67,70,-33.076,766.512,0.0
2,5,70,1,-5554.587,766.668,0.0
2,5,1,63,5625.616,766.668,0.0
2,5,63,66,-27.868,766.668,0.0
2,5,66,69,-32.443,766.668,0.0
2,5,69,72,-32.163,766.668,0.0
2,5,72,3,-56.234,6.979,0.0
2,5,68,71,-31.982,766.807,0.0
3,6,1,4,-1845.853,466.126,0.0
3,6,4,7,6391.852,466.126,0.0
3,6,7,10,-2629.385,466.126,0.0
