x,y,z,label,buried
0.0,9.893900000490248,-25.0,1,True
0.0,9.893900000490248,-24.0,2,True
0.0,9.893900000490248,-23.0,3,True
0.0,9.893900000490248,-22.0,4,True
0.0,9.893900000490248,-21.0,5,True
0.0,9.893900000490248,-20.0,6,True
0.0,9.893900000490248,-19.0,7,True
0.0,9.893900000490248,-18.0,8,True
0.0,9.893900000490248,-17.0,9,True
0.0,9.893900000490248,-16.0,10,True
0.0,9.893900000490248,-15.0,11,True
0.0,9.893900000490248,-14.0,12,True
0.0,9.893900000490248,-13.0,13,True
0.0,9.893900000490248,-12.0,14,True
0.0,9.893900000490248,-11.0,15,True
0.0,9.893900000490248,-10.0,16,True
0.0,9.893900000490248,-9.0,17,True
0.0,9.893900000490248,-8.0,18,True
0.0,9.893900000490248,-7.0,19,True
0.0,9.893900000490248,-6.0,20,True
0.0,9.893900000490248,-5.0,21,True
0.0,9.893900000490248,-4.0,22,True
0.0,9.893900000490248,-3.0,23,True
0.0,9.893900000490248,-2.0,24,False
9.473200000007637,27.089000000618398,-2.0,25,False
9.473200000007637,27.089000000618398,-3.0,26,True
9.473200000007637,27.089000000618398,-4.0,27,True
9.473200000007637,27.089000000618398,-5.0,28,True
9.473200000007637,27.089000000618398,-6.0,29,True
9.473200000007637,27.089000000618398,-7.0,30,True
9.473200000007637,27.089000000618398,-8.0,31,True
9.473200000007637,27.089000000618398,-9.0,32,True
9.473200000007637,27.089000000618398,-10.0,33,True
9.473200000007637,27.089000000618398,-11.0,34,True
9.473200000007637,27.089000000618398,-12.0,35,True
9.473200000007637,27.089000000618398,-13.0,36,True
9.473200000007637,27.089000000618398,-14.0,37,True
9.473200000007637,27.089000000618398,-15.0,38,True
9.473200000007637,27.089000000618398,-16.0,39,True
9.473200000007637,27.089000000618398,-17.0,40,True
9.473200000007637,27.089000000618398,-18.0,41,True
9.473200000007637,27.089000000618398,-19.0,42,True
9.473200000007637,27.089000000618398,-20.0,43,True
9.473200000007637,27.089000000618398,-21.0,44,True
9.473200000007637,27.089000000618398,-22.0,45,True
9.473200000007637,27.089000000618398,-23.0,46,True
9.473200000007637,27.089000000618398,-24.0,47,True
9.473200000007637,27.089000000618398,-25.0,48,True
10.981099999975413,14.856200000271201,-2.0,49,False
10.981099999975413,14.856200000271201,-3.0,50,True
10.981099999975413,14.856200000271201,-4.0,51,True
10.981099999975413,14.856200000271201,-5.0,52,True
10.981099999975413,14.856200000271201,-6.0,53,True
10.981099999975413,14.856200000271201,-7.0,54,True
10.981099999975413,14.856200000271201,-8.0,55,True
10.981099999975413,14.856200000271201,-9.0,56,True
10.981099999975413,14.856200000271201,-10.0,57,True
10.981099999975413,14.856200000271201,-11.0,58,True
10.981099999975413,14.856200000271201,-12.0,59,True
10.981099999975413,14.856200000271201,-13.0,60,True
10.981099999975413,14.856200000271201,-14.0,61,True
10.981099999975413,14.856200000271201,-15.0,62,True
10.981099999975413,14.856200000271201,-16.0,63,True
10.981099999975413,14.856200000271201,-17.0,64,True
10.981099999975413,14.856200000271201,-18.0,65,True
10.981099999975413,14.856200000271201,-19.0,66,True
10.981099999975413,14.856200000271201,-20.0,67,True
10.981099999975413,14.856200000271201,-21.0,68,True
10.981099999975413,14.856200000271201,-22.0,69,True
10.981099999975413,14.856200000271201,-23.0,70,True
10.981099999975413,14.856200000271201,-24.0,71,True
10.981099999975413,14.856200000271201,-25.0,72,True
26.852199999964796,17.852900000289083,-2.0,73,False
26.852199999964796,17.852900000289083,-3.0,74,True
26.852199999964796,17.852900000289083,-4.0,75,True
26.852199999964796,17.852900000289083,-5.0,76,True
26.852199999964796,17.852900000289083,-6.0,77,True
26.852199999964796,17.852900000289083,-7.0,78,True
26.852199999964796,17.852900000289083,-8.0,79,True
26.852199999964796,17.852900000289083,-9.0,80,True
26.852199999964796,17.852900000289083,-10.0,81,True
26.852199999964796,17.852900000289083,-11.0,82,True
26.852199999964796,17.852900000289083,-12.0,83,True
26.852199999964796,17.852900000289083,-13.0,84,True
26.852199999964796,17.852900000289083,-14.0,85,True
26.852199999964796,17.852900000289083,-15.0,86,True
26.852199999964796,17.852900000289083,-16.0,87,True
26.852199999964796,17.852900000289083,-17.0,88,True
26.852199999964796,17.852900000289083,-18.0,89,True
26.852199999964796,17.852900000289083,-19.0,90,True
26.852199999964796,17.852900000289083,-20.0,91,True
26.852199999964796,17.852900000289083,-21.0,92,True
26.852199999964796,17.852900000289083,-22.0,93,True
26.852199999964796,17.852900000289083,-23.0,94,True
26.852199999964796,17.852900000289083,-24.0,95,True
26.852199999964796,17.852900000289083,-25.0,96,True
18.636199999949895,0.0,-2.0,97,False
18.636199999949895,0.0,-3.0,98,True
18.636199999949895,0.0,-4.0,99,True
18.636199999949895,0.0,-5.0,100,True
18.636199999949895,0.0,-6.0,101,True
18.636199999949895,0.0,-7.0,102,True
18.636199999949895,0.0,-8.0,103,True
18.636199999949895,0.0,-9.0,104,True
18.636199999949895,0.0,-10.0,105,True
18.636199999949895,0.0,-11.0,106,True
18.636199999949895,0.0,-12.0,107,True
18.636199999949895,0.0,-13.0,108,True
18.636199999949895,0.0,-14.0,109,True
18.636199999949895,0.0,-15.0,110,True
18.636199999949895,0.0,-16.0,111,True
18.636199999949895,0.0,-17.0,112,True
18.636199999949895,0.0,-18.0,113,True
18.636199999949895,0.0,-19.0,114,True
18.636199999949895,0.0,-20.0,115,True
18.636199999949895,0.0,-21.0,116,True
18.636199999949895,0.0,-22.0,117,True
18.636199999949895,0.0,-23.0,118,True
