Spa.1,Spa.2,Spa.3,Spa.4,Vp,In,dev
3,6,8,11,-1237.664,670.736,0.0
3,6,11,14,-104.423,670.736,0.0
3,6,14,17,28.999,670.736,0.0
3,6,17,20,-150.093,670.736,0.0
3,6,20,23,23.353,956.071,0.0
3,6,23,26,-108.649,956.071,0.0
3,6,26,29,0.0,956.071,0.0
3,6,29,32,-0.827,956.071,0.0
3,6,9,12,-166.9,953.532,0.0
3,6,12,15,-211.712,953.532,0.0
3,6,15,18,2182.651,953.532,0.0
3,6,18,21,-2194.907,953.532,0.0
3,6,21,24,-176.675,953.532,0.0
3,6,24,27,-49.776,953.532,0.0
3,6,27,30,0.0,953.532,0.0
3,6,30,33,-1.555,953.532,0.0
3,6,33,36,-2.785,953.532,0.0
3,6,36,39,-4.552,953.532,0.0
3,6,31,34,-1.99,952.214,0.0
3,6,34,37,-3.057,952.214,0.0
3,6,37,40,-4.319,952.214,0.0
3,6,40,43,-7.653,952.214,0.0
3,6,43,46,-8.407,952.214,0.0
3,6,46,49,41.099,952.214,0.0
3,6,49,52,2.903,952.214,0.0
3,6,52,55,9.977,952.214,0.0
3,6,55,58,5.908,952.214,0.0
3,6,58,61,-4.649,952.214,0.0
3,6,32,35,-2.102,956.478,0.0
3,6,35,38,-3.984,956.478,0.0
3,6,38,41,-4.33,956.478,0.0
3,6,41,44,-8.717,956.478,0.0
3,6,44,47,-7.978,956.478,0.0
3,6,47,50,42.944,956.478,0.0
3,6,50,53,5.473,956.478,0.0
3,6,53,56,11.058,956.478,0.0
3,6,56,59,2.788,956.478,0.0
3,6,59,62,-7.433,956.478,0.0
3,6,39,42,-5.787,954.178,0.0
3,6,42,45,-8.855,954.178,0.0
3,6,45,48,-7.736,954.178,0.0
3,6,48,51,46.84,954.178,0.0
3,6,51,54,8.375,954.178,0.0
3,6,54,57,9.363,954.178,0.0
3,6,57,60,-1.536,954.178,0.0
3,6,60,63,-12.804,954.178,0.0
3,6,63,66,-42.288,954.178,0.0
3,6,66,69,-40.956,954.178,0.0
3,6,61,64,-21.668,954.937,0.0
3,6,64,67,-45.154,954.937,0.0
3,6,67,70,-39.133,954.937,0.0
3,6,70,1,-2918.727,954.937,0.0
3,6,1,62,3026.501,956.071,0.0
3,6,62,65,-32.814,956.071,0.0
3,6,65,68,-44.996,956.071,0.0
3,6,68,71,-36.676,956.071,0.0
3,6,71,2,-79.8,7.709,0.0
3,6,69,72,-34.484,956.736,0.0
4,7,2,5,-109.563,87.508,0.0
4,7,5,8,1054.807,87.508,0.0
4,7,8,11,-571.471,87.508,0.0
4,7,11,14,-48.068,87.508,0.0
4,7,14,17,138.562,965.136,0.0
4,7,17,20,-169.994,965.136,0.0
4,7,20,23,-603.58,965.136,0.0
4,7,23,26,594.174,965.136,0.0
4,7,26,29,0.086,965.136,0.0
4,7,29,32,-0.267,965.136,0.0
4,7,3,6,6482.85,454.141,0.0
4,7,6,9,-1529.684,454.141,0.0
4,7,9,12,-606.413,454.141,0.0
4,7,12,15,-128.994,454.141,0.0
4,7,15,18,-52.481,454.141,0.0
4,7,18,21,-48.821,454.141,0.0
4,7,21,24,-15.244,965.694,0.0
4,7,24,27,13.937,965.694,0.0
4,7,27,30,0.188,965.694,0.0
4,7,30,33,-0.477,965.694,0.0
4,7,10,13,-713.233,964.838,0.0
4,7,13,16,43.419,964.838,0.0
4,7,16,19,-219.973,964.838,0.0
4,7,19,22,-791.155,964.838,0.0
4,7,22,25,729.642,964.838,0.0
4,7,25,28,0.11,964.838,0.0
4,7,28,31,0.283,964.838,0.0
4,7,31,34,-1.059,964.838,0.0
4,7,34,37,-3.164,964.838,0.0
4,7,37,40,-4.85,964.838,0.0
4,7,32,35,-1.628,964.471,0.0
4,7,35,38,-4.445,964.471,0.0
4,7,38,41,-4.9,964.471,0.0
4,7,41,44,-9.668,964.471,0.0
4,7,44,47,-8.108,964.471,0.0
4,7,47,50,40.393,964.471,0.0
4,7,50,53,8.818,964.471,0.0
4,7,53,56,19.045,964.471,0.0
4,7,56,59,3.536,964.471,0.0
4,7,59,62,-11.708,964.471,0.0
4,7,33,36,-2.378,964.006,0.0
4,7,36,39,-4.947,964.006,0.0
4,7,39,42,-6.527,964.006,0.0
4,7,42,45,-9.63,964.006,0.0
4,7,45,48,-7.612,964.006,0.0
4,7,48,51,44.556,964.006,0.0
4,7,51,54,14.119,964.006,0.0
4,7,54,57,15.735,964.006,0.0
4,7,57,60,-3.008,964.006,0.0
4,7,60,63,-18.623,964.006,0.0
4,7,40,43,-8.559,963.766,0.0
4,7,43,46,-8.788,963.766,0.0
4,7,46,49,37.944,963.766,0.0
4,7,49,52,4.386,963.766,0.0
4,7,52,55,17.511,963.766,0.0
4,7,55,58,10.015,963.766,0.0
4,7,58,61,-7.658,963.766,0.0
4,7,61,64,-29.779,963.766,0.0
4,7,64,67,-55.067,963.766,0.0
4,7,67,70,-37.087,963.766,0.0
4,7,62,65,-43.812,964.147,0.0
4,7,65,68,-50.975,964.147,0.0
4,7,68,71,-31.737,964.147,0.0
4,7,71,2,-6033.297,964.147,0.0
4,7,2,63,6459.654,964.469,0.0
4,7,63,66,-54.139,964.469,0.0
4,7,66,69,-42.109,964.469,0.0
4,7,69,72,-27.974,964.469,0.0
4,7,72,3,-64.129,7.914,0.0
4,7,70,1,-53.074,32.881,0.0
5,8,1,4,-2806.417,528.392,0.0
5,8,4,7,6227.102,528.392,0.0
5,8,7,10,-1879.342,528.392,0.0
5,8,10,13,-705.249,528.392,0.0
5,8,13,16,-1533.848,528.392,0.0
5,8,16,19,1351.525,528.392,0.0
5,8,19,22,-61.861,528.392,0.0
5,8,22,25,56.57,528.392,0.0
5,8,25,28,0.353,764.163,0.0
5,8,28,31,1.17,764.163,0.0
5,8,3,6,-229.166,91.965,0.0
5,8,6,9,1028.332,91.965,0.0
5,8,9,12,-482.205,91.965,0.0
5,8,12,15,-45.775,91.965,0.0
5,8,15,18,93.708,765.324,0.0
5,8,18,21,-126.494,765.324,0.0
5,8,21,24,-72.71,765.324,0.0
5,8,24,27,105.155,765.324,0.0
5,8,27,30,0.466,765.324,0.0
5,8,30,33,1.569,765.324,0.0
5,8,11,14,-387.332,120.774,0.0
5,8,14,17,330.513,120.774,0.0
5,8,17,20,-66.295,120.774,0.0
5,8,20,23,-211.95,120.774,0.0
5,8,23,26,208.862,120.774,0.0
5,8,26,29,0.377,766.653,0.0
5,8,29,32,1.617,766.653,0.0
5,8,32,35,0.485,766.653,0.0
5,8,35,38,-2.904,766.653,0.0
5,8,38,41,-3.661,766.653,0.0
5,8,31,34,1.103,765.448,0.0
5,8,34,37,-1.769,765.448,0.0
5,8,37,40,-3.499,765.448,0.0
5,8,40,43,-6.615,765.448,0.0
5,8,43,46,-6.676,765.448,0.0
5,8,46,49,19.794,765.448,0.0
5,8,49,52,4.581,765.448,0.0
5,8,52,55,19.743,765.448,0.0
5,8,55,58,11.817,765.448,0.0
5,8,58,61,-6.147,765.448,0.0
5,8,33,36,-0.712,765.427,0.0
5,8,36,39,-3.473,765.427,0.0
5,8,39,42,-5.06,765.427,0.0
5,8,42,45,-7.409,765.427,0.0
5,8,45,48,-5.571,765.427,0.0
5,8,48,51,25.749,765.427,0.0
5,8,51,54,15.511,765.427,0.0
5,8,54,57,17.732,765.427,0.0
5,8,57,60,-1.879,765.427,0.0
5,8,60,63,-16.754,765.427,0.0
5,8,41,44,-7.414,766.86,0.0
5,8,44,47,-6.031,766.86,0.0
5,8,47,50,21.455,766.86,0.0
5,8,50,53,9.56,766.86,0.0
5,8,53,56,21.927,766.86,0.0
5,8,56,59,4.443,766.86,0.0
5,8,59,62,-10.049,766.86,0.0
5,8,62,65,-38.056,766.86,0.0
5,8,65,68,-40.396,766.86,0.0
5,8,68,71,-20.454,766.86,0.0
5,8,61,64,-26.046,766.006,0.0
5,8,64,67,-45.313,766.006,0.0
5,8,67,70,-25.833,766.006,0.0
5,8,70,1,-920.208,766.006,0.0
5,8,1,63,1004.441,766.006,0.0
5,8,63,66,-45.736,766.006,0.0
5,8,66,69,-31.136,766.006,0.0
5,8,69,72,-16.858,766.006,0.0
5,8,72,3,-1915.145,766.006,0.0
5,8,71,2,-52.177,33.351,0.0
6,9,1,4,-117.346,64.258,0.0
6,9,4,7,-210.342,64.258,0.0
6,9,7,10,609.291,64.258,0.0
6,9,10,13,-188.619,64.258,0.0
