4344
1	1 1	1 4	1 6	1 9	-1.6890936212511019
2	1 1	1 4	1 22	1 25	-0.5233222703150708
3	1 1	1 4	1 2	1 63	-0.2042652862962034
4	1 2	1 5	1 42	1 45	-0.008822766011520645
5	1 2	1 5	1 45	1 48	-0.007960758983852883
6	1 2	1 5	1 41	1 44	-0.008785252605816786
7	1 2	1 5	1 44	1 47	-0.008304021787004578
8	1 2	1 5	1 67	1 70	-0.043310017996609676
9	1 2	1 5	1 70	1 1	-6.986051069516057
10	1 2	1 5	1 1	1 63	7.288555824531815
11	1 3	1 6	1 1	1 4	-4.529159754926852
12	1 3	1 6	1 8	1 11	-1.824962598140273
13	1 3	1 6	1 37	1 40	-0.0050905871037595155
14	1 3	1 6	1 43	1 46	-0.008542842707502128
15	1 3	1 6	1 38	1 41	-0.00481973734867272
16	1 3	1 6	1 41	1 44	-0.009304828338660809
17	1 3	1 6	1 44	1 47	-0.008117625630519919
18	1 3	1 6	1 39	1 42	-0.006069377555195432
19	1 3	1 6	1 42	1 45	-0.009214417694665009
20	1 3	1 6	1 45	1 48	-0.007590666057965935
21	1 3	1 6	1 63	1 66	-0.044853223789434224
22	1 3	1 6	1 61	1 64	-0.02358128220121751
23	1 3	1 6	1 64	1 67	-0.04748309691988672
24	1 3	1 6	1 70	1 1	-2.8877053828506742
25	1 3	1 6	1 1	1 62	3.146534610503021
26	1 3	1 6	1 71	1 2	-10.72247391797419
27	1 3	1 6	1 69	1 72	-0.03315307244253346
28	1 4	1 7	1 8	1 11	-6.2647284344796885
29	1 4	1 7	1 23	1 26	0.5089536309032692
30	1 4	1 7	1 34	1 37	-0.0035867255456720265
31	1 4	1 7	1 35	1 38	-0.004853691149236783
32	1 4	1 7	1 38	1 41	-0.005610248439158808
33	1 4	1 7	1 41	1 44	-0.010388815798312818
34	1 4	1 7	1 44	1 47	-0.008463619353434083
35	1 4	1 7	1 47	1 50	0.04556379608085741
36	1 4	1 7	1 53	1 56	0.019683546655696216
37	1 4	1 7	1 36	1 39	-0.005540234120456016
38	1 4	1 7	1 39	1 42	-0.0069735703895182416
39	1 4	1 7	1 42	1 45	-0.01028874620845669
40	1 4	1 7	1 48	1 51	0.05080357156575088
41	1 4	1 7	1 46	1 49	0.04332850618927202
42	1 4	1 7	1 61	1 64	-0.0331421177967226
43	1 4	1 7	1 67	1 70	-0.0404841835466375
44	1 4	1 7	1 65	1 68	-0.053906106910281956
45	1 4	1 7	1 2	1 63	8.032859699279213
46	1 4	1 7	1 72	1 3	-10.111590803314382
47	1 5	1 8	1 1	1 4	-5.0589294048608195
48	1 5	1 8	1 7	1 10	-3.297334307218805
49	1 5	1 8	1 6	1 9	9.839566645984792
50	1 5	1 8	1 9	1 12	-4.837311695177916
51	1 5	1 8	1 23	1 26	3.399981666285502
52	1 5	1 8	1 32	1 35	0.002113003685584413
53	1 5	1 8	1 40	1 43	-0.008322412559426331
54	1 5	1 8	1 43	1 46	-0.008495452589649463
55	1 5	1 8	1 33	1 36	0.0010221207639934836
56	1 5	1 8	1 45	1 48	-0.006789595724677796
57	1 5	1 8	1 44	1 47	-0.007897965227625602
58	1 5	1 8	1 68	1 71	-0.02424467445488243
59	1 5	1 8	1 64	1 67	-0.061053616001087
60	1 5	1 8	1 1	1 63	0.940024718123632
61	1 5	1 8	1 72	1 3	-2.476240104153242
62	1 5	1 8	1 71	1 2	-1.5545677063603733
63	1 6	1 9	1 1	1 4	-1.6281752847205682
64	1 6	1 9	1 4	1 7	-2.8491118941819633
65	1 6	1 9	1 13	1 16	-0.8136016229253483
66	1 6	1 9	1 2	1 5	-5.353063664056405
67	1 6	1 9	1 36	1 39	-0.007047513742479451
68	1 6	1 9	1 39	1 42	-0.007675290823431878
69	1 6	1 9	1 40	1 43	-0.009344503424230665
70	1 6	1 9	1 43	1 46	-0.008744503134619153
71	1 6	1 9	1 35	1 38	-0.006141235057477105
72	1 6	1 9	1 41	1 44	-0.010891312571927183
73	1 6	1 9	1 44	1 47	-0.007996177695985207
74	1 6	1 9	1 42	1 45	-0.010529700575963391
