a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resInvError
1,4,14,17,5341.71,617.326,0.0,8.6529807589507,,,,-726.0569688296413,-6282.556981184955,5,0.052926684584898374,0.470422535938809,8.888192026920105,,
1,4,6,9,-1631.11,810.328,0.0,-2.0129009487516165,,,,-27.925268031909276,56.210798515573366,12,-0.00969570852690479,-0.019422344198496866,-2.003189776652368,,-0.15777
1,4,49,52,3.943,808.35,0.0,0.004877837570359374,,,,-38453.09407993839,-187.56794699968708,55,-0.028161436855426204,-0.00013545954698920056,0.004810107796864773,,-0.02167
1,4,61,64,5.129,808.35,0.0,0.00634502381394198,,,,-75209.7281269409,-477.20751600554195,-4259,-0.008218004633593847,-5.235857661585724e-05,0.006371203102249909,,
1,4,71,2,-3093.081,795.725,0.0,-3.887123063872569,,,,-12.550314774562288,48.78461801906173,64,0.048597262198054235,0.19360794680845794,-3.983927037276798,,-1.20775
1,4,2,63,3320.925,799.921,0.0,4.1515662171639445,,,,12.5457924965409,52.0846882961881,0,,,4.1515662171639445,,-1.31521
1,4,72,3,57.156,9.753,0.0,5.860350661334974,,,,12.582006911266296,73.73497252336065,69,0.046163760846367544,0.27692784173448537,5.9988145822022165,,-1.10006
2,5,7,10,-1319.361,690.809,0.0,-1.9098781283972852,,,,-27.925268031909276,53.33385864377543,-17247,-0.007918675859289697,-0.015183823718691425,-1.917470040256631,,
2,5,3,6,6485.302,417.752,0.0,15.52428713686589,,,,5.026548245743669,78.03357827423424,-151,-0.052603552760296504,-0.8386917400692973,15.943633006900539,,
2,5,6,9,-2523.189,417.752,0.0,-6.039920814263008,,,,-9.773843811168247,59.033242670430774,-361,-0.03821513655692872,-0.2353126512608501,-6.157577139893433,,
2,5,24,27,-80.7,417.752,0.0,-0.19317681303740017,,,,-3647.7381366681584,704.6584280365392,88,0.04820460005242186,0.009541995039151596,-0.19794781055697597,,-1.9703
2,5,8,11,-85.11,94.192,0.0,-0.9035799218617293,,,,-56.54866776461626,51.096240800136854,-17182,-0.0439138142325197,-0.040570442265356665,-0.9238651429944076,,
2,5,11,14,389.443,94.192,0.0,4.134565568201121,,,,-226.194671058465,-935.216698668908,-16972,0.012861814850948807,0.05283821913154885,4.108146458635346,,
2,5,14,17,-371.163,94.192,0.0,-3.940493884830984,,,,-565.4866776461627,2228.296795218094,-929,0.08029953936533156,0.3042060413284222,-3.788390864166773,,
2,5,17,20,-34.434,94.192,0.0,-0.36557244776626463,,,,-1130.9733552923267,413.45269785264117,-1143,-0.007592495426771832,-0.0027861841831535172,-0.3669655398578414,,
2,5,20,23,392.172,94.192,0.0,4.163538304739257,,,,-1979.203371761568,-8240.48905119838,-16327,-0.07083756121298372,-0.3057647128046028,4.316420661141558,,
2,5,23,26,-399.158,94.192,0.0,-4.237705962289792,,,,-3166.7253948185116,13419.651086556902,96,0.09713356259947103,0.4326351753079827,-4.454023549943783,,-2.27716
2,5,43,46,-6.197,696.563,0.0,-0.008896539150084056,,,,-23929.162176543286,212.88672813232796,105,-0.09476485932457203,-0.0008049393012112133,-0.00849406949947845,,0.57404
2,5,42,45,-6.364,696.466,0.0,-0.009137560196764809,,,,-22214.55071938395,202.98679444245585,114,-0.055953227692746965,-0.0004973614957374615,-0.008888879448896079,,0.51749
2,5,45,48,-5.971,696.466,0.0,-0.008573282830748378,,,,-27618.090083558098,236.77769753143068,115,-0.09322624098756824,-0.0007636584288727884,-0.008191453616311984,,0.5188
2,5,44,47,-5.981,696.678,0.0,-0.008585027803375448,,,,-25729.643832900132,220.88970767639526,123,-0.016199167476935613,-0.00013795294177713566,-0.00851605133248688,,0.61882
2,5,62,65,-18.658,696.678,0.0,-0.026781382503825297,,,,-75209.7281269409,2014.2204969763122,129,-0.08374278806892178,-0.0021526146624737744,-0.02570507517258841,,-0.69083
2,5,65,68,-29.521,696.678,0.0,-0.04237395181131025,,,,-87084.94835750671,3690.133405191431,-4549,-0.0041066237391795156,-0.00017437191635675392,-0.04246113776948862,,
2,5,64,67,-27.998,697.688,0.0,-0.04012968547545608,,,,-82997.38724933649,3330.6590456005024,-18744,0.05318603501336632,0.0020790506270505493,-0.03909016016193081,,
2,5,67,70,-30.027,697.688,0.0,-0.043037862196282584,,,,-95658.00564330864,4116.916064847939,133,0.029730804224694832,0.0012988583062159345,-0.04368729134939055,,-1.2691
2,5,70,1,-5278.585,697.448,0.0,-7.568428040513415,,,,-8.370005743741341,63.347786170190304,134,-0.07748387777591674,-0.5645590413676524,-7.286148519829588,,-1.11956
2,5,1,63,5343.142,697.448,0.0,7.660989779883232,,,,8.36811956213114,64.10807844232761,0,,,7.660989779883232,,-1.28789
2,5,63,66,-24.936,697.448,0.0,-0.035753203106181394,,,,-79039.67863751794,2825.9216837744857,-18692,0.05124733221881547,0.0017864801076789977,-0.034859963052341895,,
2,5,66,69,-29.424,697.448,0.0,-0.042188091441942625,,,,-91304.4563571321,3851.960753851549,-18848,-0.004326109771016953,-0.0001829059502167496,-0.042279544417051,,
2,5,69,72,-29.638,697.448,0.0,-0.04249492435278329,,,,-104775.60565572337,4452.431436357017,-19002,0.02494445407631993,0.0010469548306481502,-0.04197144693745922,,
2,5,68,71,-29.96,698.871,0.0,-0.04286914180156281,,,,-100147.69061113789,4293.245549907911,140,-0.07286349108203338,-0.0030137974302611517,-0.04136224308643223,,-0.76764
