Spa.1,Spa.2,Spa.3,Spa.4,Vp,In,dev
1,4,2,5,1186.544,147.123,0.0
1,4,5,8,-766.085,147.123,0.0
1,4,8,11,-74.824,147.123,0.0
1,4,11,14,-500.087,147.123,0.0
1,4,14,17,321.843,147.123,0.0
1,4,17,20,-103.783,147.123,0.0
1,4,20,23,349.476,147.123,0.0
1,4,23,26,-93.034,147.123,0.0
1,4,26,29,0.9,821.635,0.0
1,4,29,32,5.793,821.635,0.0
1,4,3,6,-5039.406,821.423,0.0
1,4,6,9,-1331.442,821.423,0.0
1,4,9,12,-541.235,821.423,0.0
1,4,12,15,-454.872,821.423,0.0
1,4,15,18,206.544,821.423,0.0
1,4,18,21,107.665,821.423,0.0
1,4,21,24,133.001,821.423,0.0
1,4,24,27,16.149,821.423,0.0
1,4,27,30,1.843,821.423,0.0
1,4,30,33,8.728,821.423,0.0
1,4,7,10,-160.924,166.873,0.0
1,4,10,13,-210.382,166.873,0.0
1,4,13,16,-486.262,166.873,0.0
1,4,16,19,626.964,166.873,0.0
1,4,19,22,107.415,166.873,0.0
1,4,22,25,-88.573,166.873,0.0
1,4,25,28,0.916,819.02,0.0
1,4,28,31,5.004,819.02,0.0
1,4,31,34,8.728,819.02,0.0
1,4,34,37,3.411,819.02,0.0
1,4,32,35,8.429,821.11,0.0
1,4,35,38,2.846,821.11,0.0
1,4,38,41,0.439,821.11,0.0
1,4,41,44,-2.509,821.11,0.0
1,4,44,47,-4.42,821.11,0.0
1,4,47,50,-23.248,821.11,0.0
1,4,50,53,10.885,821.11,0.0
1,4,53,56,26.867,821.11,0.0
1,4,56,59,14.422,821.11,0.0
1,4,59,62,13.044,821.11,0.0
1,4,33,36,6.502,820.175,0.0
1,4,36,39,2.699,820.175,0.0
1,4,39,42,-0.849,820.175,0.0
1,4,42,45,-3.034,820.175,0.0
1,4,45,48,-4.954,820.175,0.0
1,4,48,51,-22.272,820.175,0.0
1,4,51,54,18.937,820.175,0.0
1,4,54,57,23.748,820.175,0.0
1,4,57,60,15.895,820.175,0.0
1,4,60,63,8.647,820.175,0.0
1,4,37,40,1.711,820.272,0.0
1,4,40,43,-1.435,820.272,0.0
1,4,43,46,-3.9,820.272,0.0
1,4,46,49,-28.54,820.272,0.0
1,4,49,52,4.806,820.272,0.0
1,4,52,55,23.986,820.272,0.0
1,4,55,58,20.072,820.272,0.0
1,4,58,61,17.277,820.272,0.0
1,4,61,64,3.978,820.272,0.0
1,4,64,67,-9.852,820.272,0.0
1,4,62,65,0.761,821.611,0.0
1,4,65,68,-18.196,821.611,0.0
1,4,68,71,-28.551,821.611,0.0
1,4,71,2,193.25,821.611,0.0
1,4,2,63,-167.788,821.422,0.0
1,4,63,66,-4.241,821.422,0.0
1,4,66,69,-23.258,821.422,0.0
1,4,69,72,-32.173,821.422,0.0
1,4,72,3,7089.06,821.422,0.0
1,4,67,70,-26.844,821.104,0.0
2,5,1,4,2210.943,266.734,0.0
2,5,4,7,362.908,266.734,0.0
2,5,7,10,-453.955,266.734,0.0
2,5,10,13,-58.111,266.734,0.0
2,5,13,16,872.931,266.734,0.0
2,5,16,19,-1125.926,266.734,0.0
2,5,19,22,285.985,266.734,0.0
2,5,22,25,-64.512,266.734,0.0
2,5,25,28,-0.444,732.552,0.0
2,5,28,31,-1.763,732.552,0.0
2,5,3,6,1030.416,80.146,0.0
2,5,6,9,-411.356,80.146,0.0
2,5,9,12,-104.772,80.146,0.0
2,5,12,15,109.483,80.146,0.0
2,5,15,18,-35.253,80.146,0.0
2,5,18,21,1.369,733.221,0.0
2,5,21,24,128.169,733.221,0.0
2,5,24,27,-213.109,733.221,0.0
2,5,27,30,-0.55,733.221,0.0
2,5,30,33,-3.529,733.221,0.0
2,5,8,11,-63.407,82.367,0.0
2,5,11,14,341.759,82.367,0.0
2,5,14,17,-327.862,82.367,0.0
2,5,17,20,-33.066,82.367,0.0
2,5,20,23,553.246,82.367,0.0
2,5,23,26,-556.122,82.367,0.0
2,5,26,29,-0.259,733.402,0.0
2,5,29,32,-2.354,733.402,0.0
2,5,32,35,-3.666,733.402,0.0
2,5,35,38,-3.738,733.402,0.0
2,5,31,34,-3.569,733.062,0.0
2,5,34,37,-3.205,733.062,0.0
